;name;overall;УИК №239;УИК №240;УИК №241;УИК №242;УИК №243;УИК №244;УИК №245;УИК №246;УИК №247
14;Белавин Владимир Иванович;1132.0;116;107;73;117;137;144;110;203;125
15;Варжина Надежда Георгиевна;442.0;42;81;38;53;61;57;33;29;48
16;Волгин Алексей Сергеевич;372.0;34;54;30;52;48;43;29;41;41
17;Головин Андрей Владимирович;355.0;42;35;96;31;40;36;20;28;27
18;Гребенкина Ирина Юрьевна;1198.0;130;133;89;124;135;151;86;214;136
19;Гришанин Ростислав Сергеевич;870.0;74;139;84;95;156;114;80;49;79
20;Гужевкин Константин Сергеевич;957.0;93;104;61;98;104;124;65;189;119
21;Дейнекин Михаил Викторович;818.0;69;100;80;77;138;125;79;55;95
22;Закондырин Александр Евгеньевич;732.0;100;122;133;78;75;48;44;65;67
23;Кириченко Анна Николаевна;816.0;64;130;70;92;140;108;71;54;87
24;Князева Ольга Рамировна;635.0;51;94;50;82;113;76;56;41;72
25;Крутелев Виктор Александрович;837.0;62;109;77;88;147;116;76;55;107
26;Кулаков Алексей Михайлович;220.0;16;33;25;21;30;28;15;29;23
27;Нефёдов Михаил Евгеньевич;271.0;27;34;35;32;28;33;33;27;22
28;Новичков Андрей Александрович;411.0;32;48;36;37;38;88;49;27;56
29;Осипов Егор Андреевич;205.0;16;31;15;21;13;31;24;29;25
30;Паршиков Сергей Дмитриевич;346.0;39;41;54;45;33;45;32;24;33
31;Паршков Алексей Иванович;329.0;46;47;82;45;28;23;12;29;17
32;Пряхина Людмила Николаевна;1055.0;125;125;67;123;105;131;79;192;108
33;Сафина Анна Анваровна;222.0;30;35;21;27;28;21;17;25;18
34;Синицын Константин Геннадьевич;148.0;12;12;21;15;15;21;17;19;16
35;Тюняева Татьяна Михайловна;418.0;55;67;116;45;38;25;17;30;25
36;Фатеева Татьяна Евгеньевна;275.0;35;41;24;44;28;24;12;39;28
37;Хмелевская Елена Михайловна;164.0;13;22;16;19;17;25;17;12;23
38;Шевченко Ольга Геннадьевна;1139.0;118;116;68;146;156;153;80;185;117
