;name;overall;УИК №3094;УИК №3095;УИК №3096;УИК №3097;УИК №3098;УИК №3099;УИК №3100;УИК №3101;УИК №3102;УИК №3103;УИК №3104;УИК №3105;УИК №3106;УИК №3107;УИК №3108;УИК №3109;УИК №3110
14;Ведмедь Артур Алексеевич;408.0;18;21;35;16;23;41;43;25;15;18;24;25;26;29;29;14;6
15;Гаджиева Саида Мердановна;1273.0;93;79;114;98;70;54;102;92;36;75;68;68;89;86;87;47;15
16;Городецкий Георгий Евгеньевич;359.0;19;16;27;23;30;23;19;21;22;20;23;23;23;27;20;16;7
17;Григорьев Юрий Герасимович;1129.0;93;65;73;49;52;66;52;68;37;72;84;72;68;68;113;79;18
18;Еренков Антон Павлович;318.0;30;14;22;12;19;14;19;15;13;21;28;20;22;11;35;21;2
19;Житенев Андрей Геннадиевич;1330.0;102;71;124;106;72;60;100;93;39;71;75;86;95;78;95;55;8
20;Итин Григорий Леонидович;390.0;46;15;36;20;25;19;18;26;13;31;22;28;24;18;25;16;8
21;Кайгородова Анастасия Александровна;1294.0;103;74;87;51;73;66;61;87;48;87;67;55;81;113;119;90;32
22;Калинин Вадим Анатольевич;887.0;65;55;56;38;37;41;34;52;24;48;41;39;64;84;102;82;25
23;Карташев Сергей Александрович;1274.0;96;68;118;102;60;43;91;96;32;79;80;77;91;93;88;54;6
24;Королев Павел Владимирович;1528.0;118;77;126;117;91;73;106;114;56;96;98;87;99;98;95;63;14
25;Кузнецов Алексей Евгеньевич;294.0;17;14;24;11;35;18;17;19;14;17;13;17;19;17;23;13;6
26;Кукушкин Юрий Леонтьевич;249.0;10;11;18;15;16;13;18;15;12;22;18;17;19;6;20;15;4
27;Марусов Сергей Александрович;292.0;15;14;15;11;26;14;12;18;16;17;16;22;20;36;26;11;3
28;Миронов Михаил Евгеньевич;217.0;13;16;15;13;18;11;14;14;9;13;12;14;16;17;6;14;2
29;Нуждина Елена Александровна;243.0;17;8;28;18;19;13;15;16;13;12;10;14;16;8;18;14;4
30;Покаместова Людмила Алексеевна;1080.0;70;41;62;39;64;48;53;43;31;70;93;74;95;56;130;98;13
31;Попков Михаил Александрович;1515.0;113;88;140;126;84;60;106;118;48;95;93;80;102;97;98;58;9
32;Рубанова Юлия Владиславовна;842.0;60;23;41;28;44;30;43;32;16;56;75;48;83;57;113;78;15
33;Световидов Дмитрий Евгеньевич;266.0;32;10;13;20;18;13;20;17;9;17;12;8;26;12;18;18;3
34;Свидерский Александр Владимирович;851.0;78;49;60;44;43;53;46;66;30;57;71;44;39;71;45;37;18
35;Сидорчук Марина Викторовна;899.0;59;26;62;41;53;37;48;34;26;60;72;47;88;49;109;74;14
36;Чемширов Константин Петрович;1060.0;94;63;76;53;68;69;61;84;44;77;60;47;40;90;62;49;23
37;Шлычков Роман Вадимович;419.0;26;17;23;20;32;24;25;20;16;37;36;32;24;20;40;26;1
