;name;overall;УИК №2266;УИК №2267;УИК №2268;УИК №2269;УИК №2270;УИК №2271;УИК №2272;УИК №2273;УИК №2274;УИК №2275;УИК №2276;УИК №2278
14;Акатова Марина Вячеславовна;1039.0;72;101;68;61;120;85;82;82;86;94;75;113
15;Бойков Илья Маркович;1677.0;194;227;165;80;97;125;88;102;192;126;161;120
16;Борисова Людмила Павловна;754.0;97;76;63;23;66;52;47;28;105;82;80;35
17;Брынская Ольга Павловна;416.0;34;41;26;17;26;38;33;31;42;43;57;28
18;Бурков Антон Леонидович;1842.0;234;233;183;77;102;132;103;102;238;138;175;125
19;Бурмистров Владимир Борисович;130.0;9;10;13;4;14;10;10;15;13;12;12;8
20;Володина Наталья Николаевна;203.0;12;20;13;9;22;15;11;15;20;23;19;24
21;Вьюкова Анна Александровна;342.0;32;33;25;13;37;32;22;39;22;30;30;27
22;Голота Ирина Трофимовна;152.0;14;16;6;14;8;13;12;12;13;13;12;19
23;Гринченко Владимир Владимирович;188.0;15;21;9;23;9;22;15;18;11;6;19;20
24;Калинин Владимир Александрович;1407.0;150;171;148;66;77;123;82;87;165;104;130;104
25;Камченко Надежда Олеговна;303.0;10;15;19;19;24;33;57;45;18;13;24;26
26;Лафицкая Наталия Владимировна;909.0;71;60;64;57;116;89;70;87;61;76;67;91
27;Ловягина Елена Николаевна;186.0;14;14;19;11;8;15;8;17;22;9;22;27
28;Лютцер Людмила Николаевна;826.0;59;59;62;61;109;68;65;81;59;73;59;71
29;Назарова Лидия Андреевна;331.0;38;34;30;10;20;22;23;17;27;44;39;27
30;Николаев Тимофей Александрович;1731.0;189;203;198;71;101;148;104;103;178;136;179;121
31;Петрова Мария Владимировна;383.0;35;41;27;14;20;33;27;26;42;46;38;34
32;Попова Калерия Евгеньевна;386.0;36;42;24;18;21;40;28;30;30;45;41;31
33;Преображенский Сергей Антонович;560.0;70;26;47;30;32;51;48;41;62;55;61;37
34;Резанцева Наталья Павловна;1080.0;79;71;76;70;132;91;98;134;73;86;71;99
35;Ровенский Артем Михайлович;1017.0;61;73;86;70;111;101;92;109;70;80;80;84
36;Сомов Виталий Сергеевич;261.0;33;25;18;17;19;28;15;17;14;24;28;23
37;Уткина Кристина Александровна;119.0;9;10;8;8;7;11;9;15;13;7;11;11
38;Филиппова Елена Витальевна;356.0;30;26;34;13;33;34;17;39;25;31;34;40
39;Хаустов Виталий Иванович;282.0;38;22;22;10;17;26;25;19;26;21;27;29
40;Штацкая Ольга Львовна;1377.0;155;157;154;56;89;133;82;72;133;95;142;109
