;name;overall;УИК №139;УИК №140;УИК №142;УИК №143
14;Аржакова Елена Александровна;144.0;35;43;29;37
15;Артемьев Сергей Петрович;170.0;60;45;38;27
16;Байер Маркус Артурович;103.0;31;25;15;32
17;Боженов Артем Юрьевич;883.0;201;208;237;237
18;Глаголев Павел Дмитриевич;51.0;7;27;8;9
19;Горнаков Николай Николаевич;83.0;27;23;16;17
20;Грецкая Марина Валерьевна;592.0;138;120;186;148
21;Евтеев Михаил Александрович;388.0;66;119;100;103
22;Калашникова Марина Николаевна;142.0;38;37;32;35
23;Канева Светлана Юрьевна;110.0;14;57;16;23
24;Кодзоев Заурбек Магомедович;264.0;82;70;51;61
25;Костенко Александр Владимирович;216.0;37;73;70;36
26;Кудряшов Николай Игоревич;339.0;96;122;77;44
27;Мастерова Виктория Ивановна;343.0;63;143;90;47
28;Попов Александр Вячеславович;289.0;89;68;60;72
29;Симоненко Анатолий Николаевич;101.0;21;37;24;19
30;Смирнов Андрей Николаевич;38.0;8;14;9;7
31;Хараидзе Кетеван Гурамовна;818.0;179;197;235;207
32;Харламов Василий Эдуардович;156.0;46;37;42;31
33;Хомяков Владимир Константинович;80.0;23;21;19;17
34;Штадлина Елена Анатольевна;63.0;21;18;12;12
35;Юшков Анатолий Константинович;315.0;93;76;62;84
