;name;overall;УИК №351;УИК №352;УИК №368;УИК №370;УИК №371;УИК №372;УИК №373;УИК №374
14;Азаренко Светлана Александровна;174.0;18;13;29;30;21;19;24;20
15;Александрова Елена Валентиновна;155.0;20;12;23;20;17;18;29;16
16;Александрова Ирина Викторовна;200.0;24;20;37;26;20;18;27;28
17;Баскаков Семен Алексеевич;103.0;7;9;15;16;11;16;15;14
18;Башаров Игорь Владимирович;174.0;21;17;18;20;19;38;19;22
19;Богословская Валентина Васильевна;146.0;16;14;25;23;18;17;14;19
20;Волкова Елена Валерьевна;577.0;216;47;45;49;27;37;64;92
21;Волкова Юлия Анатольевна;166.0;34;12;19;20;14;18;22;27
22;Глаголева Ольга Львовна;1117.0;121;126;116;141;133;169;187;124
23;Журавлев Владимир Владимирович;334.0;52;39;30;45;35;57;41;35
24;Зеленин Алексей Владимирович;76.0;8;5;11;15;10;7;12;8
25;Иванов Евгений Александрович;197.0;23;27;42;30;16;20;21;18
26;Игонин Сергей Евгеньевич;176.0;22;22;21;18;35;24;22;12
27;Караваева Елена Николаевна;526.0;113;58;57;52;29;71;91;55
28;Кузнецов Николай Сергеевич;800.0;92;88;71;106;92;113;138;100
29;Кузнецов Сергей Алексеевич;576.0;112;55;87;76;47;64;79;56
30;Макарова Людмила Серафимовна;950.0;110;101;96;124;124;133;151;111
31;Маркова Алла Владимировна;83.0;16;11;8;11;9;9;13;6
32;Мерцалова Инна Борисовна;538.0;88;62;78;54;53;64;78;61
33;Михайлов Сергей Владимирович;902.0;97;112;90;106;113;130;152;102
34;Огольцова Ольга Николаевна;208.0;27;35;21;25;32;31;25;12
35;Рябчиков Максим Андреевич;137.0;18;13;14;21;19;20;22;10
36;Сидоров Виктор Алексеевич;203.0;41;18;29;35;19;23;24;14
37;Соколов Олег Глебович;947.0;112;107;82;119;112;125;161;129
38;Сошникова Валентина Николаевна;368.0;105;39;47;30;22;33;48;44
39;Тивелева Евгения Геннадьевна;746.0;127;79;109;68;80;88;116;79
40;Тимофеев Виктор Игоревич;525.0;86;58;78;39;56;52;85;71
41;Толкунов Александр Витальевич;600.0;99;59;101;51;60;67;89;74
42;Чумаков Никита Михайлович;201.0;45;22;29;27;13;19;24;22
43;Шумилова Екатерина Александровна;191.0;21;22;25;20;29;24;37;13
44;Щедрин Дмитрий Борисович;521.0;101;50;86;42;48;46;87;61
