;name;overall;УИК №3038;УИК №3039;УИК №3040;УИК №3041;УИК №3047;УИК №3048;УИК №3049;УИК №3050;УИК №3051;УИК №3052;УИК №3054
14;Анашкин Евгений Юрьевич;1324.0;131;153;106;200;85;103;162;98;80;145;61
15;Голубев Владимир Васильевич;447.0;41;52;41;56;38;29;44;34;39;42;31
16;Гриева Ольга Васильевна;1204.0;119;135;104;207;69;79;148;102;71;122;48
17;Гудков Илья Романович;764.0;63;76;76;88;51;58;86;66;67;71;62
18;Денисова Жанна Федоровна;698.0;64;69;52;61;46;54;117;77;50;70;38
19;Зайцев Владимир Алексеевич;141.0;8;15;13;22;11;10;25;14;8;13;2
20;Зайцев Сергей Леонидович;385.0;18;18;21;28;118;27;44;41;17;28;25
21;Зиганшина Алия Рустамовна;628.0;55;66;50;67;44;46;62;67;52;65;54
22;Золочевский Виталий Сергеевич;205.0;29;25;21;21;19;16;24;14;12;15;9
23;Караченков Владимир Дмитриевич;392.0;40;44;38;40;22;27;53;30;30;52;16
24;Корочина Татьяна Геннадьевна;1306.0;135;150;133;217;88;96;121;109;77;123;57
25;Кузнецов Василий Иванович;472.0;43;46;48;51;22;27;73;44;36;56;26
26;Мишин Вячеслав Владимирович;149.0;10;10;11;22;12;13;23;12;10;19;7
27;Мосина Елена Александровна;597.0;43;44;42;57;65;22;63;66;44;45;106
28;Смирнова Нина Алексеевна;519.0;38;51;79;57;44;22;71;35;31;62;29
29;Стокоз Дмитрий Александрович;55.0;10;4;6;6;0;7;9;2;0;9;2
30;Струтынский Дмитрий Андреевич;1180.0;127;134;91;193;84;88;132;95;67;119;50
31;Теплов Алексей Аркадьевич;629.0;54;58;63;76;41;29;105;57;47;73;26
