;name;overall;УИК №318;УИК №319;УИК №320;УИК №321;УИК №322;УИК №323;УИК №324;УИК №325;УИК №326;УИК №327;УИК №328
14;Богомолов Леонид Ларионович;1005.0;74;90;102;93;77;85;111;86;110;71;106
15;Богословская Мария Александровна;845.0;54;56;42;81;91;78;104;105;109;82;43
16;Букин Вячеслав Михайлович;669.0;41;42;32;65;74;60;85;95;82;60;33
17;Бурханов Александр Михайлович;282.0;28;31;22;31;23;16;38;26;19;29;19
18;Герасимов Владимир Никитич;995.0;83;95;97;100;73;102;99;88;108;71;79
19;Дуняшев Александр Олегович;933.0;67;78;79;96;78;88;97;95;97;73;85
20;Каткова Светлана Вадимовна;462.0;28;38;27;55;34;40;51;39;54;44;52
21;Козловский Игорь Сергеевич;574.0;78;46;32;55;56;57;61;57;55;39;38
22;Мельник Наталья Викторовна;632.0;41;37;28;64;68;87;65;91;72;51;28
23;Перхун Сергей Иванович;996.0;81;90;94;93;73;94;110;100;105;73;83
24;Прожерин Иван Олегович;325.0;37;35;18;35;25;34;43;26;29;22;21
25;Рословцев Роман Петрович;234.0;18;22;10;32;19;19;23;28;23;20;20
26;Смирнов Олег Анатольевич;384.0;31;23;18;35;29;35;47;43;68;26;29
27;Умнов Вячеслав Иванович;231.0;32;23;7;29;18;18;27;24;22;16;15
28;Чугунов Александр Станиславович;1004.0;87;111;115;115;84;93;93;84;88;59;75
29;Яворовская Елена Викторовна;493.0;43;40;27;46;40;45;49;51;60;36;56
