;name;overall;УИК №599;УИК №600;УИК №601;УИК №602;УИК №603;УИК №604;УИК №605;УИК №606
14;Антипов Александр Сергеевич;1509.0;271;264;187;317;113;104;112;141
15;Арефьев Петр Владимирович;221.0;30;30;12;37;30;31;30;21
16;Балыбин Евгений Игоревич;273.0;21;33;16;56;42;39;38;28
17;Батракова Любовь Владимировна;402.0;28;62;39;69;60;55;52;37
18;Визитей Мария Леонидовна;352.0;69;37;21;39;47;37;50;52
19;Глухов Кирилл Александрович;155.0;16;19;13;22;18;27;24;16
20;Гончаров Игорь Михайлович;477.0;56;90;43;63;56;60;73;36
21;Добрынин Сергей Александрович;136.0;14;31;9;22;13;9;20;18
22;Журкова Марина Ивановна;1294.0;192;268;182;246;107;90;99;110
23;Зубков Антон Юрьевич;221.0;36;24;12;36;33;24;33;23
24;Каравацкий Артем Дмитриевич;264.0;25;48;27;41;32;31;38;22
25;Карасёва Галина Борисовна;113.0;7;26;5;19;17;10;21;8
26;Кильдеев Руслан Маратович;66.0;5;14;6;12;9;7;9;4
27;Кругликова Жанна Александровна;403.0;44;68;30;62;54;51;58;36
28;Крюков Алексей Сергеевич;150.0;16;37;17;22;16;11;20;11
29;Макаров Олег Викторович;331.0;65;29;17;44;48;37;53;38
30;Саргсян Артур Степанович;93.0;14;18;6;21;8;9;8;9
31;Сухих Валентина Федоровна;1269.0;218;259;174;239;86;80;94;119
32;Сызранова Светлана Сергеевна;1166.0;166;219;127;248;110;83;87;126
33;Тетерин Александр Юрьевич;283.0;105;49;19;29;16;18;21;26
34;Тихонов Игорь Владимирович;469.0;123;67;43;68;47;44;46;31
35;Хамидулин Эрик Артурович;75.0;10;20;6;16;6;3;11;3
36;Хесина Марина Сергеевна;1094.0;185;210;126;224;82;83;73;111
37;Шабанов Дмитрий Николаевич;345.0;25;71;22;64;52;31;41;39
