;name;overall;УИК №1534;УИК №3412;УИК №3414;УИК №3420;УИК №3436
14;Агапкин Павел Аликович;586.0;218;137;60;79;92
15;Быкова Надежда Владимировна;591.0;207;142;69;85;88
16;Гальцов Александр Владимирович;136.0;26;54;13;28;15
17;Кондратьев Максим Михайлович;524.0;177;122;63;78;84
18;Кочнев Виктор Михайлович;93.0;20;26;12;13;22
19;Леневская Наталья Ивановна;452.0;25;157;51;118;101
20;Ленковская Виктория Александровна;218.0;29;77;22;41;49
21;Максюта Геннадий Николаевич;179.0;22;70;20;28;39
22;Марьянский Андрей Александрович;138.0;19;47;22;22;28
23;Пащенко Станислав Дмитриевич;394.0;19;118;40;103;114
24;Пономаренко Марина Витальевна;557.0;171;135;67;85;99
25;Саитгалин Ильшат Салаватович;191.0;13;44;29;72;33
26;Сафонова Лариса Валерьевна;157.0;23;53;22;27;32
27;Сидоров Алексей Константинович;133.0;29;39;15;25;25
28;Суанов Артур Николаевич;424.0;135;106;54;65;64
29;Тодуа Заур Демуриевич;417.0;13;122;46;137;99
30;Филимонов Игорь Владимирович;158.0;25;60;17;29;27
31;Шевкова Ирина Владимировна;160.0;20;61;17;28;34
32;Шомполова Юлия Николаевна;381.0;9;135;42;113;82
33;Шувалов Дмитрий Юрьевич;458.0;19;162;47;138;92
