;name;overall;УИК №219;УИК №220;УИК №221;УИК №222;УИК №223;УИК №224;УИК №225;УИК №226;УИК №227;УИК №228;УИК №229
14;Акимов Валерий Романович;193.0;2;11;20;25;17;27;26;14;14;25;12
15;Берегеч Андрей Анатольевич;164.0;2;10;13;16;16;25;17;15;17;21;12
16;Божьев Александр Александрович;298.0;4;22;25;43;26;52;23;27;18;30;28
17;Бочкова Светлана Николаевна;282.0;1;15;29;18;32;50;35;24;22;31;25
18;Витренко Дмитрий Александрович;281.0;3;36;20;37;26;39;34;19;21;27;19
19;Волков Даниил Андреевич;317.0;2;38;28;43;43;36;39;25;21;19;23
20;Карачаровская Владислава Михайловна;179.0;2;23;11;23;22;9;16;12;20;25;16
21;Копаева Анастасия Александровна;1241.0;14;162;90;190;197;162;103;62;105;62;94
22;Макеев Борис Вячеславович;268.0;1;36;14;25;42;31;29;19;24;23;24
23;Макшанов Игорь Михайлович;355.0;7;52;22;65;44;36;48;19;22;16;24
24;Минигалина Анастасия Николаевна;1425.0;13;158;110;277;261;154;106;69;108;77;92
25;Молчанов Игорь Леонидович;285.0;2;31;20;36;32;39;30;21;16;30;28
26;Назаров Владимир Семенович;1458.0;9;199;102;307;197;147;129;69;125;59;115
27;Нестеров Андрей Сергеевич;1275.0;11;193;111;237;190;139;89;61;96;55;93
28;Николаева Валентина Сергеевна;335.0;3;43;17;60;36;39;21;24;32;30;30
29;Норин Максим Игоревич;178.0;3;23;10;9;15;21;33;11;20;14;19
30;Петушков Михаил Альбертович;188.0;1;21;15;18;20;29;20;11;17;16;20
31;Плюхин Алексей Борисович;235.0;0;27;11;31;30;32;28;14;17;24;21
32;Рамазанова Таслима Камилевна;312.0;1;53;28;39;40;22;30;26;28;25;20
33;Сорсорова Елена Артуровна;147.0;1;20;6;20;12;18;29;9;12;12;8
34;Сысоев Дмитрий Ростиславович;429.0;3;59;39;46;51;66;30;32;39;32;32
35;Шапоров Александр Юрьевич;1485.0;9;223;91;294;220;139;137;74;123;69;106
