;name;overall;УИК №3258;УИК №3259;УИК №3260;УИК №3261;УИК №3262;УИК №3263;УИК №3264;УИК №3265;УИК №3278;УИК №3279;УИК №3280;УИК №3281;УИК №3282
14;Буданова Ольга Владиславовна;1007.0;75;74;65;50;93;59;54;77;63;72;115;162;48
15;Гогина Мария Геннадьевна;340.0;26;29;34;16;22;24;15;26;26;39;50;11;22
16;Гончарук Григорий Иванович;486.0;47;45;51;16;36;29;18;40;30;45;70;15;44
17;Горбачев Алексей Леонидович;920.0;61;60;79;47;86;58;55;69;61;65;88;152;39
18;Груша Александр Евгеньевич;271.0;27;25;46;14;18;7;14;22;16;23;37;6;16
19;Духарев Андрей Олегович;125.0;6;7;13;4;9;11;2;16;15;11;22;1;8
20;Зацепин Михаил Павлович;257.0;21;30;26;14;16;20;15;22;14;22;38;4;15
21;Кожихов Алексей Владимирович;202.0;17;22;24;17;10;11;12;15;18;16;27;4;9
22;Коржова Ольга Николаевна;996.0;65;58;53;42;71;60;51;67;68;96;143;162;60
23;Кузнецова Жанна Александровна;1003.0;71;75;69;51;92;66;59;82;60;72;105;161;40
24;Лошин Алексей Алексеевич;714.0;43;46;55;36;41;32;20;18;111;99;123;11;79
25;Мишелова Анна Александровна;325.0;22;29;28;17;16;21;10;27;28;34;48;12;33
26;Плотников Илья Андреевич;166.0;11;10;16;8;13;12;6;12;18;12;29;3;16
27;Рожкова Валерия Алексеевна;185.0;17;17;22;11;11;13;5;18;14;12;27;3;15
28;Рыбинский Михаил Евгеньевич;395.0;26;29;33;16;26;17;7;22;55;43;62;15;44
29;Сидорин Дмитрий Викторович;110.0;8;12;14;9;7;6;6;12;8;10;10;4;4
30;Силин Олег Юрьевич;256.0;25;28;37;13;11;13;8;29;15;25;30;4;18
31;Тимошин Максим Валерьевич;97.0;6;9;9;6;6;12;6;10;10;7;13;0;3
32;Тимошина Юлия Сергеевна;137.0;9;11;9;14;10;15;4;12;9;8;23;3;10
33;Тростин Андрей Анатольевич;80.0;7;4;7;3;4;4;5;17;10;5;11;1;2
34;Федянина Татьяна Павловна;276.0;20;56;23;13;15;15;7;14;44;27;27;2;13
35;Фролов Ринат Александрович;392.0;25;36;43;17;21;19;15;30;38;49;55;7;37
36;Хренова Александра Игоревна;103.0;3;6;18;5;7;11;3;9;9;9;14;4;5
37;Чистов Михаил Сергеевич;169.0;10;17;20;4;20;17;6;9;21;13;24;2;6
38;Ясинова Анна Владимировна;993.0;72;83;77;58;99;68;50;80;52;65;90;158;41
