;name;overall;УИК №2047;УИК №2050;УИК №2051;УИК №2052;УИК №2053;УИК №2054;УИК №2055;УИК №2056;УИК №2058;УИК №2060;УИК №2061;УИК №2063;УИК №2068;УИК №2069;УИК №2073
14;Акимкина Нина Михайловна;406.0;43;25;12;28;27;12;32;32;27;37;21;20;32;25;33
15;Грудкин Александр Александрович;393.0;54;13;12;17;23;9;27;23;30;35;18;46;32;20;34
16;Дмитриев Антон Сергеевич;465.0;39;28;16;29;25;44;41;32;24;44;28;28;33;25;29
17;Евстигнеев Александр Михайлович;628.0;45;26;29;36;49;16;54;53;51;46;82;26;53;42;20
18;Зайцев Антон Викторович;349.0;42;19;13;26;17;11;38;28;21;22;18;26;25;15;28
19;Звездилин Алексей Игоревич;351.0;13;14;13;34;28;10;24;27;33;28;37;26;24;21;19
20;Кашеварова Светлана Валентиновна;271.0;30;14;9;18;6;7;24;21;16;22;13;20;16;25;30
21;Кижайкин Виктор Алексеевич;766.0;17;44;39;56;52;40;64;64;71;56;53;25;87;80;18
22;Коношенко Богдан Александрович;1607.0;128;74;60;64;99;127;114;65;99;104;94;198;98;143;140
23;Кузнецов Михаил Александрович;351.0;19;22;11;34;24;19;26;31;21;24;20;25;30;26;19
24;Левитский Максим Вячеславович;1730.0;123;85;79;72;98;129;124;73;127;177;96;153;118;138;138
25;Манько Василий Сергеевич;297.0;10;17;14;15;18;11;26;17;23;27;28;26;20;26;19
26;Можайцев Виталий Владимирович;288.0;10;18;12;19;15;12;23;15;32;22;19;24;15;25;27
27;Мотов Максим Владимирович;289.0;13;11;8;16;21;10;31;17;24;32;21;23;20;20;22
28;Онджанова Мария Дмитриевна;236.0;14;14;5;10;11;8;20;15;10;24;14;27;19;13;32
29;Погребная Марина Витальевна;242.0;14;11;9;19;12;9;32;18;14;29;17;5;14;11;28
30;Полозов Сергей Андреевич;1746.0;122;78;67;67;114;134;120;67;145;173;92;165;114;149;139
31;Родина Ирина Алексеевна;2020.0;133;106;79;77;120;131;154;82;150;196;136;197;160;158;141
32;Рыбакова Евгения Валентиновна;1817.0;120;95;64;66;116;129;135;49;143;174;106;203;132;142;143
33;Стрига Вениамин Анатольевич;189.0;7;3;9;8;6;7;15;16;13;15;20;26;13;12;19
34;Чуйкин Андрей Анатольевич;350.0;8;21;17;17;15;7;32;34;23;36;39;24;33;23;21
35;Шевченко Алена Сергеевна;301.0;6;17;10;30;22;9;22;22;22;25;33;20;16;28;19
36;Шевченко Андрей Олегович;230.0;10;12;6;24;16;12;14;19;17;20;11;19;13;20;17
