;name;overall;УИК №1345;УИК №1346;УИК №1347;УИК №1348;УИК №1349;УИК №1350;УИК №1351;УИК №1352;УИК №1353;УИК №1372;УИК №1373;УИК №1374;УИК №1375
14;Баранов Дмитрий Игоревич;1168.0;127;114;73;93;114;89;58;102;144;72;70;19;93
15;Бирашевич Юлия Николаевна;255.0;17;19;10;14;18;26;16;15;67;12;14;7;20
16;Богин Игорь Константинович;204.0;21;17;10;10;23;21;6;10;18;19;12;9;28
17;Вепринцева Елена Николаевна;757.0;95;76;28;40;84;82;33;35;65;54;45;32;88
18;Волкова Марина Вячеславовна;959.0;110;88;74;79;95;73;40;80;103;71;60;20;66
19;Голышев Николай Андреевич;327.0;31;15;20;13;23;34;18;23;47;22;23;19;39
20;Дзудза Вадим Анатольевич;1065.0;113;109;66;86;99;87;49;92;152;65;60;21;66
21;Диденко Виктор Викторович;160.0;12;10;11;10;11;13;8;5;14;15;18;17;16
22;Евсюткина Наталья Михайловна;428.0;37;46;21;29;33;26;30;42;54;25;26;14;45
23;Егоров Андрей Кириллович;297.0;40;40;12;18;20;25;12;18;31;28;10;6;37
24;Иванов Сергей Геннадиевич;354.0;34;36;20;23;29;23;26;15;44;25;17;22;40
25;Иванова Екатерина Ивановна;313.0;27;33;16;22;28;21;19;15;41;17;20;16;38
26;Ивлев Алексей Александрович;748.0;124;69;27;41;67;71;28;33;57;52;57;35;87
27;Ильина Валентина Иосифовна;136.0;13;12;7;7;19;9;6;8;17;9;5;5;19
28;Калабеков Алан Лазаревич;1055.0;104;104;68;97;102;79;52;111;142;68;49;21;58
29;Касаткин Дмитрий Сергеевич;537.0;45;41;32;27;39;41;33;65;60;37;37;30;50
30;Козуб Игорь Дмитриевич;581.0;82;52;21;34;64;65;23;28;39;39;35;32;67
31;Костюшина Дина Николаевна;1169.0;125;120;79;92;102;78;65;104;149;72;74;30;79
32;Крюков Андрей Геннадьевич;688.0;87;64;22;36;67;71;39;36;57;48;40;34;87
33;Мещерякова Галина Юрьевна;253.0;22;13;14;22;20;15;18;17;27;23;16;12;34
34;Попова Ольга Викторовна;249.0;23;34;14;18;25;13;18;13;31;13;11;11;25
35;Потанкин Владимир Владимирович;169.0;18;16;7;12;12;14;14;9;21;5;9;11;21
36;Хлыстов Алексей Олегович;605.0;79;56;23;38;56;67;27;31;49;36;36;31;76
37;Юртаева Людмила Николаевна;232.0;24;28;12;17;21;18;11;12;28;17;14;7;23
