;name;overall;УИК №2715;УИК №2719;УИК №2720;УИК №2721;УИК №2722;УИК №2723;УИК №2724;УИК №2725;УИК №2726;УИК №2727;УИК №2728;УИК №2729;УИК №2730;УИК №2731;УИК №2732;УИК №2733
14;Авдеев Николай Николаевич;306.0;24;8;26;10;30;24;15;16;15;19;22;13;15;15;25;29
15;Альперина Елена Сергеевна;955.0;51;63;70;75;130;90;53;46;34;38;54;27;37;29;68;90
16;Андреев Евгений Витальевич;243.0;12;8;28;14;11;18;13;19;8;14;12;22;19;9;19;17
17;Андреенко Петр Михайлович;399.0;23;11;33;21;29;31;15;29;22;31;21;22;19;17;38;37
18;Апсов Альберт Артурович;161.0;5;4;26;10;6;12;6;8;3;9;6;16;10;16;11;13
19;Ванин Евгений Анатольевич;285.0;19;9;21;9;13;13;15;21;17;19;21;22;20;10;21;35
20;Гринько Алексей Алексеевич;802.0;39;27;31;34;128;89;50;44;27;34;56;31;34;28;60;90
21;Дуленков Алексей Николаевич;160.0;23;2;15;5;13;6;13;9;7;7;11;4;4;6;11;24
22;Евстафьева Татьяна Викторовна;498.0;33;16;32;24;37;51;29;33;25;24;33;34;28;24;30;45
23;Казибеков Арсен Абдулхадович;547.0;23;22;30;29;97;51;30;33;19;23;39;19;16;19;46;51
24;Новиков Сергей Афонасьевич;1225.0;85;42;179;87;59;41;53;76;52;95;67;90;62;53;66;118
25;Новикова Тамара Васильевна;1416.0;96;46;175;90;83;68;74;106;78;120;79;78;70;47;83;123
26;Папулин Алексей Михайлович;234.0;14;10;10;6;13;6;15;16;10;26;30;17;13;7;13;28
27;Рассаднева Марина Павловна;1178.0;81;49;169;71;53;31;56;76;65;83;61;82;55;50;68;128
28;Ребяцков Денис Игоревич;164.0;11;5;19;6;7;15;4;9;3;5;15;13;12;5;16;19
29;Рекаев Андрей Юрьевич;143.0;7;6;19;5;9;11;11;2;1;6;14;12;6;6;14;14
30;Саркисов Эрнест Иванович;132.0;11;5;8;2;25;10;7;4;5;8;5;7;7;4;6;18
31;Синцев Александр Борисович;304.0;21;7;24;7;29;25;17;19;10;25;27;11;14;13;22;33
32;Скворцов Вадим Александрович;447.0;38;18;11;29;43;45;21;25;20;26;26;17;21;17;44;46
33;Хорольский Алексей Сергеевич;107.0;3;3;12;4;5;13;6;9;2;5;5;7;7;6;14;6
34;Черкезова Варвара Максимовна;1170.0;76;28;174;71;41;35;57;73;59;90;78;86;66;53;66;117
35;Чернов Кирилл Валерьевич;1056.0;76;39;171;71;50;38;45;69;37;73;53;76;48;42;53;115
36;Чиканцев Юрий Викторович;646.0;34;27;26;25;123;68;42;30;21;24;43;18;21;23;50;71
37;Шехетов Алексей Анатольевич;501.0;29;12;27;23;58;75;17;30;23;25;38;19;17;16;38;54
