;name;overall;УИК №356;УИК №359;УИК №360;УИК №361;УИК №362;УИК №363;УИК №364;УИК №365
14;Аверина Светлана Дмитриевна;1171.0;106;146;202;200;107;156;103;151
15;Дивенко Вадим Эдуардович;209.0;22;33;21;27;31;23;25;27
16;Ембатурова Елена Юрьевна;736.0;53;85;66;105;127;93;100;107
17;Жданова Татьяна Арамовна;1032.0;81;153;203;162;92;134;86;121
18;Каргинов Виталий Владимирович;183.0;15;24;12;27;26;31;20;28
19;Костычев Алексей Игоревич;342.0;29;39;28;60;58;46;40;42
20;Лахтина Ирина Вячеславовна;1152.0;85;145;210;188;109;156;111;148
21;Литвиненко Егор Васильевич;900.0;67;112;166;173;72;122;86;102
22;Меньшикова Олеся Борисовна;682.0;58;120;49;80;101;90;85;99
23;Немцова Милена Михайловна;636.0;55;104;40;73;92;79;83;110
24;Новожилова Ксения Викторовна;344.0;24;60;34;50;39;46;56;35
25;Осипов Дмитрий Александрович;639.0;52;113;49;84;96;74;92;79
26;Сафонов Владимир Валерьевич;221.0;13;24;16;57;28;35;22;26
27;Севостьянова Надежда Николаевна;278.0;28;32;15;48;39;35;38;43
28;Слепова Валентина Ивановна;869.0;65;93;193;146;66;114;82;110
29;Топчиян Артур Виленович;190.0;10;20;17;41;27;29;30;16
30;Черкасский Андрей Олегович;231.0;19;30;19;36;33;25;33;36
31;Чижов Михаил Михайлович;587.0;42;104;43;80;77;79;68;94
32;Чугунов Алексей Сергеевич;199.0;16;33;24;23;25;26;21;31
