;name;overall;УИК №2923;УИК №2924;УИК №2952;УИК №2953;УИК №2954;УИК №2956;УИК №2957;УИК №2958;УИК №2959;УИК №2960;УИК №2961;УИК №2962;УИК №2963
14;Алимханов Евгений Мяксутович;157.0;7;6;10;11;7;18;4;26;21;12;13;10;12
15;Антонов Александр Павлович;293.0;27;21;16;23;32;20;6;33;26;16;36;19;18
16;Бычков Георгий Васильевич;428.0;44;26;45;36;40;17;12;54;34;28;32;20;40
17;Воропаева Мария Дмитриевна;418.0;44;26;37;46;43;19;11;49;31;28;32;16;36
18;Десятников Вячеслав Сергеевич;425.0;32;44;15;19;41;36;16;45;37;32;70;12;26
19;Зуев Николай Дмитриевич;137.0;8;12;14;12;12;13;4;8;10;13;6;11;14
20;Иванов Павел Валерьевич;770.0;75;100;46;58;89;77;29;53;83;39;35;38;48
21;Козлов Артем Александрович;423.0;46;28;34;43;28;18;18;48;41;28;32;25;34
22;Кононов Игорь Геннадьевич;1276.0;91;83;148;144;125;68;45;91;95;109;96;97;84
23;Мухина Наталья Борисовна;1508.0;83;85;111;128;117;134;60;118;132;142;139;138;121
24;Никулин Андрей Валерьевич;217.0;16;18;10;19;21;12;4;20;15;6;25;23;28
25;Новикова Наталья Павловна;198.0;10;16;11;15;22;17;8;28;8;15;22;12;14
26;Татаринов Никита Русланович;212.0;30;25;14;17;21;17;6;20;17;10;8;14;13
27;Тимерьянов Ильшат Маратович;332.0;19;31;10;20;37;30;10;46;24;24;43;12;26
28;Чекмарев Данила Валерьевич;176.0;25;12;16;19;20;8;3;23;11;8;12;11;8
29;Чередникова Татьяна Александровна;1319.0;93;84;116;142;124;93;53;103;90;122;103;104;92
