;name;overall;УИК №2549;УИК №2550;УИК №2551;УИК №2552;УИК №2565
14;Андреева Татьяна Геннадьевна;725.0;188;166;96;137;138
15;Беляева Наталия Васильевна;294.0;62;64;56;49;63
16;Васильев Георгий Ревазович;199.0;78;28;15;28;50
17;Гущенко Людмила Владимировна;216.0;52;35;47;41;41
18;Дайбов Александр Борисович;290.0;76;67;34;54;59
19;Казанцев Олег Вадимович;121.0;31;16;17;31;26
20;Луцишин Артур Васильевич;669.0;174;113;97;192;93
21;Тер-Абрамян Давид Рубенович;570.0;159;78;80;180;73
22;Федин Петр Сергеевич;556.0;159;134;67;81;115
23;Фефелов Георгий Валентинович;62.0;14;14;7;12;15
24;Цыбулькова Елена Юрьевна;695.0;144;120;103;238;90
25;Шляхов Павел Игоревич;230.0;68;38;31;38;55
26;Шурыгин Антон Николаевич;127.0;33;14;18;32;30
