;name;overall;УИК №1313;УИК №1314;УИК №1315;УИК №1316;УИК №1317;УИК №1318;УИК №1319;УИК №1320;УИК №1321;УИК №1322;УИК №1325;УИК №1326;УИК №1332;УИК №1333
14;Авраменко Елена Анатольевна;729.0;63;41;50;55;29;41;72;46;54;47;46;52;71;62
15;Андреичев Андрей Леонидович;801.0;51;44;52;97;29;61;51;59;95;66;40;49;45;62
16;Бабичева Анна Сергеевна;734.0;42;45;55;90;29;55;62;55;73;66;32;45;38;47
17;Берин Арсен Завенович;477.0;44;28;29;35;25;34;43;32;20;30;39;41;37;40
18;Быкова Людмила Николаевна;739.0;46;45;54;66;38;75;90;59;67;48;42;35;31;43
19;Василькова Мария Витальевна;1243.0;67;104;108;103;52;115;92;85;112;70;87;77;83;88
20;Герасимов Артем Валерьевич;198.0;10;8;12;14;6;16;28;18;13;8;19;15;14;17
21;Гогичаев Тамерлан Казбекович;1713.0;124;153;105;127;88;174;181;145;138;97;103;119;64;95
22;Голобородько Алексей Александрович;698.0;79;51;43;63;33;55;69;46;42;41;37;47;45;47
23;Данилова Анастасия Григорьевна;252.0;17;19;22;19;5;18;42;30;17;11;13;14;12;13
24;Жукова Яна Эдуардовна;412.0;23;34;37;24;17;36;18;34;37;28;34;26;31;33
25;Катков Валерий Семенович;2582.0;150;225;185;225;115;233;206;193;237;170;189;169;149;136
26;Кашин Сергей Владимирович;217.0;11;27;17;18;11;16;17;19;14;12;14;7;13;21
27;Киселёв Фёдор Андреевич;1441.0;103;140;91;121;68;142;164;124;118;68;77;93;49;83
28;Кравченко Сергей Иванович;120.0;9;8;7;11;5;14;12;6;13;7;9;7;7;5
29;Кротков Сергей Викторович;463.0;31;39;32;43;15;34;42;43;30;21;41;27;24;41
30;Кударенко Дмитрий Григорьевич;666.0;45;42;44;65;25;56;50;35;66;56;35;45;53;49
31;Медведева Татьяна Владимировна;512.0;24;61;33;37;23;35;49;38;50;35;29;23;36;39
32;Меньшов Александр Александрович;1260.0;92;110;74;107;60;128;128;111;145;51;69;83;37;65
33;Новикова Галина Вячеславовна;1898.0;152;194;124;167;103;211;213;164;161;67;84;113;52;93
34;Сайгак Владимир Валерьевич;449.0;20;31;46;39;21;37;35;24;44;39;28;27;28;30
35;Сарбеева Яна Юрьевна;1352.0;88;103;70;89;58;137;131;109;123;60;83;95;76;130
36;Солдатов Павел Николаевич;532.0;56;48;30;53;19;40;48;37;30;31;27;29;39;45
37;Сопина Ольга Сергеевна;239.0;6;25;19;22;10;16;31;21;16;17;13;15;12;16
38;Сытник Григорий Валерьевич;343.0;19;34;33;32;6;25;61;33;20;13;19;11;19;18
39;Якушин Сергей Николаевич;280.0;11;31;16;27;9;23;32;26;16;16;21;14;15;23
