;name;overall;УИК №3065;УИК №3066;УИК №3067;УИК №3068;УИК №3069;УИК №3070;УИК №3071;УИК №3072;УИК №3073;УИК №3074;УИК №3075;УИК №3076;УИК №3077;УИК №3078;УИК №3424
14;Аргунов Олег Владимирович;245.0;17;26;21;20;14;30;10;10;21;13;9;14;19;15;6
15;Баранников Владимир Анатольевич;280.0;24;23;27;21;17;30;6;18;21;14;13;19;25;17;5
16;Белоус Ирина Викторовна;1271.0;62;101;165;92;103;90;37;84;100;68;95;84;77;101;12
17;Бородулин Вячеслав Владимирович;1306.0;128;129;114;81;89;144;40;95;90;67;59;76;88;90;16
18;Воробьева Вера Владимировна;1434.0;82;100;210;95;132;117;41;97;113;79;94;83;86;93;12
19;Гальперин Алексей Владимирович;1048.0;63;76;139;81;90;85;32;61;89;44;81;60;63;74;10
20;Измайлович Людмила Михайловна;312.0;19;25;44;18;26;26;8;18;19;15;16;23;22;25;8
21;Каланча Иван Петрович;191.0;12;13;23;13;11;25;6;11;15;7;7;12;13;17;6
22;Кушнер Олег Игоревич;1196.0;103;107;99;76;80;145;31;114;107;58;50;59;79;78;10
23;Лавринович Вячеслав Валерьевич;375.0;35;31;43;36;22;31;13;15;22;23;21;24;25;29;5
24;Логацкая Татьяна Михайловна;1264.0;121;115;115;70;79;138;43;101;91;73;59;72;83;86;18
25;Менжевицкий Матвей Евгеньевич;477.0;43;44;42;25;33;42;11;51;47;26;19;20;35;34;5
26;Менжерицкий Сергей Александрович;1053.0;90;90;101;62;61;117;33;106;88;49;42;54;85;60;15
27;Митяев Александр Константинович;164.0;13;14;16;14;10;19;1;6;15;9;7;8;10;17;5
28;Морозов Виталий Всеволодович;479.0;91;101;29;27;30;16;11;29;16;19;22;11;20;44;13
29;Николаева Анна Владимировна;933.0;89;84;105;58;63;99;30;65;53;42;49;61;61;64;10
30;Погорелова Людмила Григорьевна;1369.0;77;88;169;93;127;91;43;92;112;70;111;80;97;108;11
31;Прусакова Валентина Константиновна;767.0;76;54;70;60;54;82;25;70;65;34;31;31;55;47;13
32;Швидкин Денис Викторович;283.0;22;22;17;19;18;45;6;24;21;15;16;16;15;20;7
33;Шипицына Ирина Николаевна;1217.0;65;75;153;99;107;105;29;69;99;65;93;71;82;97;8
34;Шипнягов Антон Владиславович;452.0;36;25;43;27;23;81;20;63;39;15;16;11;22;23;8
