;name;overall;УИК №3214;УИК №3215;УИК №3216;УИК №3217;УИК №3218;УИК №3219;УИК №3220;УИК №3221;УИК №3222;УИК №3223;УИК №3224;УИК №3225
14;Анисимов Владимир Викторович;997.0;106;74;72;67;70;93;66;80;81;105;108;75
15;Беспалова Татьяна Евгеньевна;171.0;12;9;15;10;17;19;8;16;21;15;9;20
16;Бибаева Татьяна Владимировна;736.0;77;54;43;52;67;63;47;62;56;81;79;55
17;Венедиктов Александр Викторович;515.0;53;28;42;44;47;38;32;37;74;31;56;33
18;Виноградова Ирина Петровна;404.0;47;21;53;28;33;25;26;37;43;24;39;28
19;Дахин Илья Николаевич;105.0;5;9;16;6;9;11;8;6;11;7;9;8
20;Доброхотова Елена Валерьевна;137.0;12;5;9;11;7;17;7;13;15;14;17;10
21;Егорова Алла Александровна;192.0;18;12;20;21;15;15;12;17;19;15;14;14
22;Журавлев Николай Егорович;380.0;42;15;38;39;27;25;29;38;44;28;29;26
23;Зайцев Александр Викторович;111.0;5;7;11;7;6;12;7;13;13;12;8;10
24;Каханов Михаил Валерьевич;176.0;19;13;22;17;14;16;12;15;10;12;14;12
25;Качикин Михаил Владиславович;342.0;41;21;30;31;22;26;32;29;26;23;36;25
26;Колесникова Ирина Геннадьевна;949.0;100;74;58;75;66;82;68;80;74;108;101;63
27;Круглов Владимир Викторович;129.0;8;10;9;8;11;11;7;9;16;12;12;16
28;Кузьмин Михаил Юрьевич;785.0;75;63;50;51;60;61;62;65;57;92;88;61
29;Найденов Егор Сергеевич;88.0;4;4;13;8;9;8;10;3;11;7;6;5
30;Никитушкина Валерия Валентиновна;295.0;37;15;25;27;23;19;23;20;38;20;27;21
31;Петров Денис Геннадьевич;677.0;45;51;44;36;74;57;59;89;40;53;56;73
32;Резвяков Александр Игоревич;179.0;15;16;14;9;14;11;21;16;10;17;15;21
33;Шегаева Оксана Валериевна;866.0;81;63;46;56;63;77;65;79;71;104;93;68
