;name;overall;УИК №924;УИК №926;УИК №927;УИК №928;УИК №929;УИК №931;УИК №933;УИК №934;УИК №937;УИК №938
14;Аксенова Мария Владимировна;564.0;79;40;61;90;51;62;6;37;81;57
15;Аленуров Эльхан Асафович;374.0;42;40;106;41;24;28;11;14;37;31
16;Апальшин Юрий Михайлович;132.0;28;3;23;12;10;11;8;9;12;16
17;Байрон Елена Федоровна;847.0;57;145;137;87;74;103;37;38;96;73
18;Бояршинова Мария Владиславовна;716.0;85;50;79;93;76;98;51;44;75;65
19;Брагин Александр Игоревич;1488.0;217;86;112;167;128;150;139;161;167;161
20;Васильева Наталья Алексеевна;275.0;32;23;30;38;32;27;19;13;29;32
21;Восканян Армен Иосифович;135.0;19;12;17;11;13;15;9;5;23;11
22;Горбачева Екатерина Николаевна;1243.0;183;70;91;134;102;113;162;134;140;114
23;Дёмушкина Ольга Сергеевна;853.0;47;167;136;84;77;70;42;54;112;64
24;Егорченков Михаил Анатольевич;1318.0;200;71;86;137;124;140;118;139;153;150
25;Иванов Дмитрий Михайлович;235.0;28;15;31;32;13;19;28;17;30;22
26;Карякин Алексей Владимирович;314.0;37;15;27;45;27;42;12;31;40;38
27;Козина Вера Ивановна;848.0;52;140;125;82;87;96;56;42;94;74
28;Козырева Елена Викторовна;184.0;37;4;21;24;27;18;15;6;23;9
29;Кондрахин Евгений Валерьевич;126.0;13;6;11;19;13;12;15;9;21;7
30;Кочеткова Ирина Николаевна;186.0;14;15;23;25;18;20;12;16;28;15
31;Марков Сергей Сергеевич;299.0;36;19;35;42;17;40;20;28;35;27
32;Наберухина Галина Михайловна;1354.0;185;70;88;108;105;115;150;173;180;180
33;Питимко Людмила Витальевна;172.0;15;13;11;20;23;18;15;12;30;15
34;Прибыткова Мария Борисовна;1252.0;185;66;84;126;100;127;131;152;162;119
35;Рудзская Зоя Николаевна;255.0;25;21;20;31;23;31;16;19;38;31
36;Федотов Владимир Сергеевич;598.0;52;38;40;96;48;79;55;55;76;59
37;Чуканова Маргарита Алексеевна;1219.0;74;171;172;101;114;144;93;75;158;117
38;Шомин Владимир Владимирович;641.0;50;47;51;90;53;70;63;56;90;71
39;Щербицкая Ольга Владимировна;799.0;45;133;127;67;72;83;58;48;91;75
