;name;overall;УИК №2328;УИК №2329;УИК №2330;УИК №2331;УИК №2332;УИК №2333;УИК №2334;УИК №2335;УИК №2336;УИК №2337;УИК №2338;УИК №2339;УИК №2340;УИК №2341
14;Бакиров Игорь Вакильевич;319.0;18;13;14;11;31;8;26;10;22;37;33;45;23;28
15;Барановская Елена Валентиновна;1632.0;93;78;50;55;90;32;117;153;99;194;215;120;188;148
16;Белоусов Дмитрий Александрович;335.0;17;25;30;8;11;15;36;22;26;23;28;36;35;23
17;Бокай-Полтавец Андрей Сергеевич;257.0;25;15;22;18;15;11;14;10;19;12;16;21;30;29
18;Денисов Артем Олегович;328.0;16;27;32;13;13;21;27;27;27;29;25;20;26;25
19;Долиденок Антон Михайлович;672.0;50;43;34;25;33;24;48;54;47;26;56;61;84;87
20;Жебель Михаил Сергеевич;321.0;25;33;37;42;14;11;21;15;15;5;21;26;23;33
21;Иванов Денис Викторович;305.0;25;28;64;19;14;11;21;19;13;15;23;21;14;18
22;Илюхина Вера Алексеевна;1861.0;99;77;47;61;96;40;127;157;131;253;299;119;190;165
23;Карабанович Виктор Болеславович;195.0;22;11;9;8;18;4;11;8;10;19;22;14;16;23
24;Косорукова Елена Валентиновна;187.0;8;17;9;12;17;6;17;9;10;19;14;14;16;19
25;Курбатов Алексей Александрович;1586.0;76;84;52;57;77;32;114;141;106;183;230;119;183;132
26;Лебедев Артур Геннадьевич;132.0;11;10;6;5;6;4;9;12;6;3;9;19;15;17
27;Лесаева Ольга Александровна;1448.0;85;61;43;47;66;34;101;142;103;170;206;96;168;126
28;Маркин Руслан Ростиславович;383.0;30;28;41;10;15;21;40;28;33;29;25;31;26;26
29;Муравьева Елена Владимировна;136.0;4;10;5;6;9;2;7;12;8;7;15;30;8;13
30;Мустафаев Вадим Хидирбекович;67.0;6;3;5;1;7;2;3;6;1;8;6;10;6;3
31;Недорезова Елена Владимировна;136.0;13;6;4;7;3;4;10;15;6;8;15;19;16;10
32;Осин Владимир Алексеевич;434.0;31;31;16;22;30;11;34;36;25;23;39;49;39;48
33;Первеев Дмитрий Павлович;154.0;6;6;10;5;8;4;9;17;6;22;13;19;13;16
34;Петровский Дмитрий Алексеевич;529.0;31;36;45;36;61;10;46;12;28;45;61;47;25;46
35;Пинчук Андрей Валентинович;103.0;8;11;4;3;2;4;5;9;5;9;8;9;17;9
36;Репкин Игорь Юрьевич;392.0;20;22;22;24;47;11;30;17;21;41;49;34;20;34
37;Романтеев Павел Владимирович;185.0;11;14;17;6;7;8;10;12;12;19;15;20;16;18
38;Салкин Михаил Игоревич;491.0;26;41;59;23;17;24;52;30;38;30;44;37;33;37
39;Сапрыкин Андрис Сергеевич;223.0;20;14;12;11;11;10;13;15;11;13;29;15;29;20
40;Семенихина Людмила Ивановна;434.0;38;41;22;18;24;17;30;29;20;22;40;33;48;52
41;Трость Александр Владимирович;1399.0;77;53;37;47;72;36;94;136;85;173;208;95;161;125
42;Тюрякова Вера Леонидовна;419.0;24;33;37;13;21;24;47;20;29;34;39;40;24;34
43;Хайми Михаил Павлович;556.0;42;29;38;34;61;12;47;15;28;51;63;54;28;54
44;Цыбулин Роман Александрович;93.0;10;9;7;2;5;1;5;4;4;7;10;8;6;15
45;Шешуков Андрей Витальевич;313.0;32;16;20;12;13;16;31;16;27;26;30;25;24;25
