;name;overall;УИК №461;УИК №462;УИК №463;УИК №464;УИК №465;УИК №466;УИК №467;УИК №468;УИК №476
14;Беляев Александр Сергеевич;956.0;107;76;178;105;118;102;110;115;45
15;Бондяшов Виктор Вячеславович;289.0;30;24;28;37;38;29;47;39;17
16;Бычкова Татьяна Васильевна;787.0;52;59;91;95;107;82;133;109;59
17;Васеев Евгений Сергеевич;271.0;32;20;21;41;49;21;39;26;22
18;Голуенко Алиса Владимировна;901.0;71;82;66;96;124;110;131;91;130
19;Драбкин Леонид Дмитриевич;780.0;56;75;66;80;115;95;115;83;95
20;Захарова Наталья Ивановна;373.0;31;36;35;58;39;45;51;49;29
21;Зелепухин Александр Михайлович;349.0;29;33;40;40;45;37;54;52;19
22;Зубрилова Галина Владимировна;817.0;90;67;134;95;111;80;100;107;33
23;Зурабова Орнелла Ахмадовна;292.0;19;24;21;39;37;34;36;53;29
24;Илямаков Алексей Николаевич;169.0;17;6;15;15;23;13;33;30;17
25;Коваленко Александр Валерьевич;222.0;25;17;12;25;29;23;30;40;21
26;Лазарева Марина Михайловна;263.0;31;22;28;34;34;21;38;30;25
27;Мартынова Елена Васильевна;988.0;102;90;175;127;124;100;105;114;51
28;Неклюдова Татьяна Васильевна;711.0;37;55;73;83;105;85;110;69;94
29;Овраменко Александр Иванович;570.0;34;35;50;50;95;71;90;74;71
30;Оркин Василий Михайлович;139.0;25;13;9;15;17;14;19;19;8
31;Осипов Дмитрий Андреевич;328.0;36;24;53;30;49;28;42;47;19
32;Павлова Светлана Викторовна;864.0;86;74;135;110;120;81;97;104;57
33;Ромашова Мария Владимировна;760.0;82;64;127;87;109;77;98;85;31
34;Скуратович Алексей Леонидович;90.0;7;5;6;15;13;9;17;13;5
35;Фомин Егор Валерьевич;838.0;77;94;58;90;127;102;113;87;90
36;Шалимова Надежда Валерьевна;375.0;33;29;37;39;39;51;69;41;37
37;Шведова Ольга Павловна;1058.0;70;85;106;113;143;135;171;110;125
38;Шевченко Вячеслав Андреевич;155.0;17;13;13;18;19;17;21;21;16
