;name;overall;УИК №2204;УИК №2205;УИК №2206;УИК №2207;УИК №2208;УИК №2209;УИК №2210;УИК №2211;УИК №2212;УИК №2213;УИК №2214;УИК №2215;УИК №2216;УИК №2217;УИК №2218;УИК №2219
14;Александров Сергей Сергеевич;426.0;9;22;62;26;19;30;33;45;24;23;19;25;25;30;24;10
15;Афанасьев Леонид Леонидович;297.0;9;13;18;18;12;18;28;34;16;24;23;18;16;20;18;12
16;Бойко Петр Алексеевич;454.0;15;27;34;22;24;30;64;49;30;26;22;20;28;34;21;8
17;Болдырев Дмитрий Николаевич;1250.0;17;65;119;95;60;110;87;118;88;69;65;72;85;91;77;32
18;Брундукова Марина Викторовна;997.0;30;72;94;63;73;32;58;91;59;54;71;51;81;86;57;25
19;Гапеева Ирина Юрьевна;885.0;27;63;76;42;70;39;52;105;55;54;49;38;66;82;44;23
20;Датнов Дмитрий Леонидович;1139.0;14;66;108;86;55;101;84;105;75;57;57;53;81;83;83;31
21;Дровенников Дмитрий Геннадьевич;203.0;4;11;22;5;9;16;20;22;13;13;10;11;15;15;9;8
22;Зиновьева Марина Александровна;1247.0;16;68;113;88;57;117;90;118;89;59;57;71;90;84;86;44
23;Исавнин Александр Алексеевич;264.0;4;8;21;16;10;22;29;22;18;14;13;12;22;37;7;9
24;Карасева Анастасия Вадимовна;443.0;12;29;37;28;18;19;43;49;31;17;29;15;36;38;31;11
25;Ковальский Тарас Вадимович;704.0;9;41;73;58;32;63;52;69;57;34;29;22;47;57;37;24
26;Копытов Андрей Валерьевич;175.0;4;10;14;7;12;11;16;26;5;7;7;3;21;21;7;4
27;Лысенков Николай Александрович;482.0;15;33;48;27;18;25;44;54;34;22;32;22;32;36;27;13
28;Мосина Ирина Михайловна;898.0;25;72;82;43;67;41;47;74;56;61;57;36;91;82;44;20
29;Плотников Александр Анатольевич;156.0;2;10;13;6;5;14;14;17;6;6;3;6;18;24;6;6
30;Прудлик Ольга Игоревна;1282.0;27;66;108;74;45;106;116;134;90;63;69;58;101;97;83;45
31;Силиванова Ксения Викторовна;857.0;24;68;67;46;77;48;40;73;43;48;60;42;83;75;46;17
32;Туба Давор;806.0;24;58;79;46;91;42;39;67;45;44;50;34;72;67;34;14
33;Чернов Олег Георгиевич;437.0;11;36;34;27;14;23;43;46;33;24;20;25;35;31;25;10
34;Юрков Дмитрий Викторович;556.0;19;34;50;31;17;32;49;71;36;24;27;38;39;37;38;14
