;name;overall;УИК №3246;УИК №3247;УИК №3248;УИК №3249;УИК №3251;УИК №3252;УИК №3253;УИК №3254;УИК №3255;УИК №3256;УИК №3257
14;Абрамов Андрей Владимирович;88.0;2;10;9;10;8;5;15;13;6;6;4
15;Бутко Алексей Станиславович;193.0;10;12;29;18;18;16;14;34;10;20;12
16;Волкова Татьяна Валерьевна;78.0;16;6;8;6;8;8;6;10;3;3;4
17;Гладышева Евгения Михайловна;475.0;63;46;65;87;25;35;53;46;10;21;24
18;Грачев Михаил Вячеславович;312.0;24;34;37;31;22;20;32;46;15;28;23
19;Грунин Владимир Вячеславович;409.0;51;39;54;84;24;36;27;39;10;20;25
20;Журжалин Дмитрий Алексеевич;59.0;3;8;6;11;4;4;7;6;1;6;3
21;Калямин Сергей Борисович;151.0;8;8;17;17;12;14;20;27;5;11;12
22;Комарова Анна Сергеевна;82.0;5;6;6;5;6;8;15;13;3;9;6
23;Курсаков Андрей Викторович;822.0;67;62;84;54;81;72;79;104;55;76;88
24;Лихачев Виктор Владимирович;105.0;7;10;12;7;5;9;11;15;7;14;8
25;Лобанова Екатерина Ивановна;823.0;77;62;96;58;75;73;70;105;57;68;82
26;Логинов Ян Борисович;387.0;45;36;54;84;23;32;24;31;9;24;25
27;Максов Федор Витальевич;175.0;10;9;18;18;12;14;19;27;8;24;16
28;Мишина Татьяна Ивановна;161.0;16;7;16;21;20;15;17;22;5;12;10
29;Сваровски Екатерина Евгеньевна;835.0;84;65;91;66;68;72;69;103;52;76;89
30;Сильченкова Алла Алексеевна;805.0;75;69;103;69;65;56;67;100;59;65;77
31;Степанова Мария Валерьевна;799.0;66;63;90;54;65;74;73;99;56;71;88
32;Сухова Жанна Львовна;259.0;22;7;20;42;40;29;19;27;6;28;19
33;Талкин Дмитрий Александрович;409.0;63;42;60;82;21;39;31;26;4;16;25
34;Телышев Виктор Валерьевич;157.0;20;14;19;16;10;11;18;19;8;7;15
35;Тимошин Максим Валерьевич;62.0;2;6;5;4;5;3;13;13;0;4;7
36;Тимошина Юлия Сергеевна;58.0;6;6;6;8;5;2;10;9;2;1;3
37;Толоконникова Ирина Анатольевна;122.0;7;7;11;11;16;13;19;16;4;9;9
38;Холод Максим Михайлович;39.0;3;6;6;4;4;3;4;5;1;2;1
39;Чаховский Владимир Владимирович;232.0;15;18;31;27;15;15;27;31;7;23;23
40;Яресько Николай Семенович;206.0;10;100;8;31;13;8;9;15;3;4;5
