;name;overall;УИК №1383;УИК №1389;УИК №1396;УИК №1397;УИК №1398;УИК №1399;УИК №1400;УИК №1405
14;Абанин Владимир Георгиевич;224.0;24;20;63;22;28;17;12;38
15;Алексеев Алексей Алексеевич;278.0;23;30;111;19;16;23;27;29
16;Алексеенков Петр Александрович;184.0;17;26;50;18;24;14;13;22
17;Антонов Глеб Викторович;752.0;61;106;61;139;119;92;59;115
18;Баландин Александр Иванович;218.0;15;21;94;14;17;17;15;25
19;Батырева Анна Леонидовна;225.0;21;26;67;21;25;15;15;35
20;Вакулко Алексей Анатольевич;146.0;15;15;45;22;14;9;10;16
21;Глущенко Кирилл Андреевич;806.0;73;82;233;53;114;68;46;137
22;Климов Юрий Андреевич;864.0;81;96;244;62;112;80;56;133
23;Кондратьев Игорь Александрович;679.0;55;95;60;144;105;73;50;97
24;Косенков Александр Михайлович;149.0;14;16;55;12;14;10;6;22
25;Кузник Игорь Владимирович;560.0;70;74;39;113;84;51;72;57
26;Миронов Денис Ревазович;703.0;70;69;180;53;100;65;44;122
27;Плюснин Дмитрий Геннадьевич;165.0;14;12;60;18;17;13;11;20
28;Пятнышков Николай Сергеевич;100.0;8;12;31;9;14;8;13;5
29;Райзман Валерия Владимировна;625.0;64;69;152;42;98;49;43;108
30;Сиворонов Михаил Егорович;721.0;61;96;68;136;119;91;52;98
31;Сидорова Мира Наримановна;349.0;25;42;58;41;104;28;26;25
32;Симонова Лариса Владимировна;847.0;84;80;225;69;123;86;52;128
33;Тарасов Борис Викторович;390.0;36;44;41;55;69;46;28;71
34;Тарасов Павел Михайлович;1130.0;97;161;47;212;189;159;81;184
35;Толстопятов Сергей Алексеевич;678.0;65;97;33;130;117;92;51;93
36;Харитонов Владимир Андреевич;210.0;26;25;60;26;17;13;20;23
37;Щепетков Юрий Викторович;232.0;33;38;58;30;20;11;16;26
38;Яркин Илья Евгеньевич;317.0;34;41;78;40;42;24;32;26
