;name;overall;УИК №1896;УИК №1897;УИК №1898;УИК №1899;УИК №1900;УИК №1901;УИК №1902;УИК №1903;УИК №1904;УИК №1905;УИК №1906
14;Абашидзе Анна Давидовна;78.0;12;7;3;5;2;7;10;7;2;5;18
15;Абрамов Никита Андреевич;192.0;29;10;6;14;10;15;19;19;1;24;45
16;Арафелова Ирина Арамовна;428.0;48;22;25;59;34;41;37;31;5;52;74
17;Банкова Татьяна Сергеевна;515.0;54;36;52;35;42;50;55;40;8;55;88
18;Виноградова Елена Михайловна;1212.0;126;105;130;179;100;127;106;73;7;97;162
19;Жаворонков Артем Сергеевич;478.0;65;23;54;42;32;44;48;35;9;37;89
20;Игонина Юлия Владимировна;174.0;24;9;8;7;15;18;12;19;3;29;30
21;Конев Алексей Алексеевич;533.0;64;37;38;73;47;44;42;35;8;63;82
22;Куранов Сергей Николаевич;539.0;110;48;53;25;27;44;64;56;5;44;63
23;Леонов Дмитрий Александрович;115.0;19;8;11;3;9;11;9;17;0;11;17
24;Марутенков Максим Андреевич;472.0;72;34;55;36;34;44;49;31;6;36;75
25;Медведева Наталья Евгеньевна;1059.0;129;101;124;179;73;112;78;58;3;79;123
26;Милешин Андрей Леонидович;429.0;62;29;21;37;54;38;42;26;2;49;69
27;Некрасова Надежда Александровна;936.0;112;96;111;158;69;98;70;43;3;65;111
28;Никитин Сергей Филиппович;182.0;15;19;5;14;21;12;20;22;2;20;32
29;Панова Татьяна Михайловна;196.0;28;14;9;18;17;20;17;17;0;23;33
30;Папян Гарегин Гришаевич;92.0;9;6;7;4;9;12;13;9;2;12;9
31;Сайботалов Анатолий Александрович;84.0;14;8;3;3;4;2;11;16;1;6;16
32;Скляник Игорь Александрович;634.0;82;43;51;34;60;63;84;48;9;66;94
33;Скляр Федор Васильевич;401.0;57;54;57;34;33;32;35;20;2;41;36
34;Сурикова Анна Григорьевна;144.0;15;4;10;10;13;15;12;20;2;18;25
35;Цолис Антон Леонидович;459.0;47;43;44;34;42;40;58;37;9;42;63
36;Шиндряева Наталья Николаевна;1026.0;115;109;115;167;86;105;83;52;2;69;123
37;Шутов Павел Викторович;1018.0;112;115;115;168;93;106;68;56;1;67;117
