;name;overall;УИК №2775;УИК №2776;УИК №2777;УИК №2778;УИК №2779;УИК №2780;УИК №2781;УИК №2782;УИК №2783;УИК №2784;УИК №2785;УИК №2786
14;Аверьянова Елена Алексеевна;207.0;14;25;15;14;20;22;18;12;21;11;17;18
15;Бабыкин Арсений Сергеевич;129.0;9;10;9;11;14;7;13;13;7;15;9;12
16;Болотин Алексей Дмитриевич;751.0;47;35;101;157;95;69;42;36;55;45;27;42
17;Быстрова Ирина Анатольевна;197.0;19;17;17;13;18;19;15;15;19;16;16;13
18;Ветров Владимир Николаевич;497.0;17;41;61;45;67;57;38;27;57;30;33;24
19;Гонгальский Максим Брониславович;1414.0;90;69;122;155;188;127;78;65;213;93;102;112
20;Дмитриев Станислав Николаевич;1161.0;76;83;130;93;123;65;76;58;133;103;121;100
21;Зигунский Василий Александрович;1020.0;60;54;69;101;129;93;62;52;152;59;84;105
22;Зубко Андрей Александрович;822.0;58;47;104;169;104;72;33;41;53;57;39;45
23;Иванова Оксана Ивановна;882.0;73;56;127;69;103;65;61;48;71;68;54;87
24;Ильин Сергей Николаевич;133.0;6;8;18;14;12;16;9;8;15;11;4;12
25;Инютин Александр Михайлович;221.0;10;17;16;12;26;22;18;5;30;30;17;18
26;Каплина Наталия Викторовна;1230.0;92;65;134;111;143;131;75;63;175;61;83;97
27;Лесков Дмитрий Сергеевич;126.0;6;10;9;7;8;21;7;8;12;11;7;20
28;Ломова Татьяна Алексеевна;665.0;43;46;77;159;87;51;27;32;42;32;33;36
29;Маскова Виктория Владимировна;854.0;49;38;56;82;84;70;45;43;129;54;94;110
30;Михайлов Александр Яковлевич;1094.0;90;95;127;78;125;107;74;78;74;73;80;93
31;Мочалов Владимир Иванович;942.0;79;81;109;63;123;80;69;58;88;57;62;73
32;Соколов Валерий Валериевич;229.0;14;24;17;22;26;24;10;12;27;24;17;12
