;name;overall;УИК №428;УИК №429;УИК №430;УИК №431;УИК №432;УИК №433;УИК №434
14;Белоус Александр Николаевич;120.0;18;14;11;8;16;25;28
15;Березина Елена Анатольевна;537.0;97;94;79;52;47;73;95
16;Борисова Светлана Васильевна;319.0;113;34;23;27;23;31;68
17;Бочков Алексей Викторович;546.0;184;40;59;58;37;65;103
18;Бурова Нелли Анатольевна;187.0;37;20;22;28;16;30;34
19;Буслаев Артем Алексеевич;84.0;19;4;8;12;6;19;16
20;Глухова Марина Алексеевна;862.0;117;130;100;104;125;195;91
21;Голубев Аким Александрович;367.0;63;51;53;59;26;57;58
22;Городецкая Лариса Михайловна;293.0;89;22;27;26;31;40;58
23;Гуськов Александр Александрович;181.0;43;17;24;27;23;25;22
24;Донцова Любовь Викторовна;468.0;75;85;62;56;42;60;88
25;Жукова Алла Викторовна;793.0;128;113;84;96;99;176;97
26;Жупиков Александр Викторович;920.0;139;132;106;101;120;224;98
27;Завьялова Наталья Борисовна;839.0;135;123;88;103;107;179;104
28;Золин Андрей Вячеславович;644.0;254;50;58;54;45;54;129
29;Махоткин Юрий Михайлович;283.0;36;42;41;37;27;41;59
30;Мордовин Дмитрий Сергеевич;583.0;196;55;57;63;48;55;109
31;Невежина Светлана Александровна;204.0;49;16;16;20;25;20;58
32;Омаров Адам Зиябуттинович;50.0;6;5;7;5;8;9;10
33;Приказчиков Сергей Михайлович;278.0;43;44;37;26;29;48;51
34;Савин Иван Адольфович;81.0;19;7;6;13;9;11;16
35;Сафонова Ольга Анатольевна;142.0;24;13;7;15;15;32;36
36;Селиверстова Анна Евгеньевна;837.0;114;141;116;95;103;181;87
37;Сикорский Олег Владимирович;51.0;12;8;6;1;5;6;13
38;Шкурагин Вячеслав Владимирович;176.0;31;23;21;19;21;29;32
