;name;overall;УИК №193;УИК №194;УИК №195;УИК №196;УИК №197;УИК №198
14;Антонов Александр Васильевич;274.0;48;48;66;28;37;47
15;Боброва Ирина Ивановна;745.0;160;119;114;76;121;155
16;Бунин Кирилл Владимирович;184.0;41;27;34;16;26;40
17;Варламова Ирина Рифовна;195.0;34;43;21;32;29;36
18;Гуськов Александр Александрович;228.0;44;54;33;20;34;43
19;Ефимов Александр Борисович;80.0;20;14;13;3;16;14
20;Зубов Сергей Александрович;577.0;97;91;114;64;98;113
21;Кальва Александр Александрович;178.0;26;23;29;23;36;41
22;Колесник Антон Валерьевич;770.0;204;144;117;86;116;103
23;Копейкина Екатерина Николаевна;641.0;103;105;112;77;104;140
24;Кудряшова Наталия Сергеевна;112.0;22;18;18;8;23;23
25;Масляков Сергей Владимирович;124.0;26;20;21;20;18;19
26;Мезрина Елена Георгиевна;591.0;108;97;103;68;101;114
27;Мрочко Андрей Николаевич;724.0;198;143;109;88;100;86
28;Орехова Яна Александровна;121.0;24;26;16;14;16;25
29;Поняхина Марина Анатольевна;428.0;76;79;51;58;87;77
30;Рассказихина Лариса Николаевна;190.0;36;25;25;22;17;65
31;Ревин Сергей Николаевич;422.0;104;86;65;66;44;57
32;Тарасов Антон Александрович;386.0;73;82;57;38;54;82
33;Федоренков Михаил Михайлович;286.0;42;67;39;31;46;61
34;Юченкова Марья Максимовна;205.0;36;39;34;16;28;52
