;name;overall;УИК №185;УИК №186;УИК №187
14;Апарин Виктор Юрьевич;57.0;14;21;22
15;Афонасова Зоя Федоровна;192.0;69;57;66
16;Бабичев Дмитрий Константинович;78.0;23;31;24
17;Балмышев Алексей Валерьевич;32.0;7;16;9
18;Веселая Людмила Викторовна;69.0;31;20;18
19;Вовк Елена Борисовна;160.0;57;44;59
20;Гагаев Александр Викторович;35.0;22;7;6
21;Глазкова Любовь Станиславовна;238.0;91;62;85
22;Гордеев Андрей Григорьевич;485.0;108;167;210
23;Гусев Олег Иванович;49.0;13;25;11
24;Дикарев Василий Андреевич;564.0;124;192;248
25;Зайцева Наталия Николаевна;119.0;32;37;50
26;Зак Михаил Викторович;489.0;110;175;204
27;Захаров Дмитрий Александрович;98.0;27;44;27
28;Зеленов Дмитрий Геннадьевич;464.0;103;166;195
29;Карасев Андрей Евгеньевич;38.0;14;17;7
30;Квасникова Ирина Павловна;153.0;52;49;52
31;Кириллов Юрий Николаевич;34.0;9;13;12
32;Китанин Роман Александрович;58.0;17;31;10
33;Лещанов Денис Евгеньевич;35.0;11;19;5
34;Мальцев Виталий Александрович;252.0;99;62;91
35;Манукян Арам Вазгенович;397.0;91;185;121
36;Морев Андрей Зиновьевич;562.0;130;198;234
37;Новиков Сергей Геннадьевич;74.0;16;37;21
38;Павлова Ирина Евгеньевна;356.0;65;201;90
39;Пархоменко Елена Георгиевна;100.0;24;30;46
40;Полетаев Владимир Викторович;92.0;27;34;31
41;Поликанова Екатерина Васильевна;316.0;59;163;94
42;Прокопенкова Светлана Владимировна;359.0;59;226;74
43;Просторов Павел Юрьевич;42.0;12;17;13
44;Серебряков Илья Владимирович;54.0;17;26;11
45;Силин Анатолий Иванович;54.0;18;23;13
46;Токарев Артем Александрович;106.0;41;35;30
47;Филиппов Валерий Васильевич;91.0;23;29;39
48;Фомина Галина Васильевна;445.0;110;202;133
