;name;overall;УИК №1150;УИК №1151;УИК №1152;УИК №1153;УИК №1154;УИК №1155;УИК №1156;УИК №1157;УИК №1158;УИК №1159;УИК №1169;УИК №1170
14;Аксенов Денис Сергеевич;1440.0;135;135;78;68;97;67;187;95;101;132;33;312
15;Антонов Александр Львович;602.0;78;44;47;35;43;44;54;66;73;53;29;36
16;Барсукова Светлана Васильевна;729.0;55;55;56;45;80;80;61;64;77;59;26;71
17;Башнин Андрей Алексеевич;137.0;9;12;6;5;12;12;17;25;11;17;3;8
18;Бондаренко Валентина Евгеньевна;1134.0;123;123;68;59;73;47;159;71;76;72;22;241
19;Букалов Евгений Олегович;200.0;17;21;7;14;16;8;14;27;28;22;13;13
20;Верчинова Лариса Александровна;512.0;49;48;31;34;45;45;42;62;50;41;29;36
21;Воронин Сергей Анатольевич;470.0;32;47;36;31;23;19;49;58;61;50;28;36
22;Доможилов Дмитрий Олегович;176.0;6;14;8;10;9;6;20;27;30;28;6;12
23;Егоров Владимир Борисович;426.0;44;33;24;27;32;29;46;66;46;32;25;22
24;Емельяненко Григорий Владимирович;1479.0;134;147;99;86;131;118;165;93;103;82;28;293
25;Каменский Иван Алексеевич;400.0;24;49;32;17;24;22;15;53;50;42;29;43
26;Ковальчук Григорий Евгеньевич;396.0;33;25;29;20;58;67;25;36;34;37;12;20
27;Космынин Алексей Иванович;1515.0;140;137;91;78;154;140;185;87;104;98;34;267
28;Левин Станислав Леонидович;92.0;8;8;4;6;5;7;8;17;9;7;6;7
29;Привалов Антон Евгеньевич;116.0;10;11;3;5;14;6;12;15;16;13;3;8
30;Прокопчук Максим Сергеевич;71.0;7;7;3;3;3;4;10;9;6;8;6;5
31;Сафин Альмир Наилевич;431.0;41;41;73;39;20;18;22;56;42;30;21;28
32;Тюрин Андрей Викторович;1509.0;142;148;83;68;121;115;207;97;96;93;38;301
33;Шведко Андрей Николаевич;581.0;39;47;43;29;40;30;35;81;80;55;44;58
34;Шерстюк Григорий Владимирович;534.0;29;46;34;23;33;28;40;73;70;59;42;57
