;name;overall;УИК №1121;УИК №1132;УИК №1142;УИК №1143;УИК №1144;УИК №1145;УИК №1146;УИК №1147;УИК №1148;УИК №1149
14;Билялов Ансар Раисович;354.0;15;23;26;20;15;25;42;54;87;47
15;Бобкова Наталья Владимировна;754.0;73;87;48;51;54;125;86;81;83;66
16;Богданова Галина Ивановна;308.0;24;34;22;39;26;35;28;35;29;36
17;Бойко Игорь Валерьевич;417.0;31;26;28;42;26;47;65;52;45;55
18;Галкин Иван Алексеевич;274.0;16;34;28;22;33;33;24;22;31;31
19;Еремин Виктор Гаврилович;398.0;39;49;22;33;25;52;39;37;52;50
20;Жуков Сергей Иванович;606.0;55;65;43;52;46;93;66;55;72;59
21;Казакова Инна Владимировна;1718.0;245;115;141;173;111;166;159;221;217;170
22;Левин Станислав Леонидович;118.0;15;11;14;9;10;9;11;17;9;13
23;Медведев Антон Владимирович;127.0;10;14;11;16;8;11;16;14;12;15
24;Палферова Елена Александровна;1811.0;274;125;113;146;126;169;165;234;260;199
25;Панюшкин Антон Вячеславович;280.0;27;30;21;22;17;23;45;40;26;29
26;Пименов Юрий Львович;226.0;27;17;18;27;11;21;32;24;23;26
27;Привалов Антон Евгеньевич;105.0;7;9;6;13;5;9;20;6;16;14
28;Сарычихин Анатолий Николаевич;235.0;16;20;8;13;10;20;39;45;36;28
29;Саулин Максим Олегович;234.0;18;19;17;16;24;31;25;34;19;31
30;Семенова Надежда Ивановна;335.0;25;42;26;26;32;45;32;28;32;47
31;Синяков Александр Михайлович;297.0;16;22;17;23;26;47;47;43;24;32
32;Фролов Константин Александрович;1367.0;237;106;103;120;84;128;111;171;164;143
33;Хаярова Альфия Абдулхаевна;1322.0;260;95;99;122;80;112;103;159;157;135
34;Шарко Валерия Михайловна;188.0;21;20;16;16;14;8;30;27;19;17
35;Шумилов Сергей Владимирович;1315.0;243;106;86;122;82;121;102;163;160;130
36;Щербаков Сергей Александрович;145.0;14;14;11;12;11;15;21;14;17;16
