;name;overall;УИК №105;УИК №106;УИК №108;УИК №109;УИК №110;УИК №111;УИК №112;УИК №113;УИК №114;УИК №115;УИК №119
14;Агаян Александр Владимирович;594.0;94;40;51;58;61;38;40;35;46;58;73
15;Андрушко Павел Сергеевич;841.0;42;27;67;48;73;112;123;94;114;58;83
16;Арутюнян Асатур Амбарцумович;266.0;17;16;26;18;28;20;27;25;22;33;34
17;Арушанян Алексей Анатольевич;953.0;92;70;93;54;131;116;90;70;82;87;68
18;Ашихмина Марина Викторовна;125.0;9;2;7;13;9;14;13;13;9;19;17
19;Безручко Бронислав Николаевич;550.0;36;32;37;35;54;60;57;69;38;60;72
20;Беневоленский Сергей Борисович;624.0;46;35;42;37;55;74;69;83;47;59;77
21;Вихлянцева Юлия Владимировна;117.0;5;4;7;10;9;13;15;13;9;15;17
22;Гордзейко Тамара Васильевна;1060.0;53;33;76;49;78;163;171;129;135;65;108
23;Демидова Кристина Александровна;205.0;10;8;18;17;10;16;29;16;26;27;28
24;Джалилова Лейла Мухтаровна;93.0;2;3;5;4;3;19;24;5;7;12;9
25;Зуев Александр Ильич;1008.0;64;35;72;61;83;134;128;128;129;66;108
26;Иванова Валентина Николаевна;947.0;57;32;92;53;70;117;119;106;124;72;105
27;Калинина Людмила Викторовна;694.0;102;32;64;77;78;60;48;42;38;81;72
28;Канаев Илья Михайлович;395.0;18;6;100;17;26;29;43;28;40;42;46
29;Кардава Борис Эльгуджевич;82.0;3;1;6;8;4;12;11;7;9;12;9
30;Кузнецов Александр Сергеевич;601.0;24;20;64;35;63;64;58;63;53;68;89
31;Макарова Наталья Викторовна;1191.0;113;80;109;59;152;147;125;87;103;117;99
32;Маркус Борис Владимирович;1058.0;101;78;100;53;139;132;101;79;99;91;85
33;Медведев Дмитрий Андреевич;327.0;14;11;33;13;26;43;32;27;46;45;37
34;Миллер Дмитрий Георгиевич;708.0;97;46;74;58;77;48;57;53;43;84;71
35;Овчинников Георгий Владимирович;475.0;28;19;38;30;31;47;40;57;42;76;67
36;Парахневич Алексей Евгеньевич;475.0;86;23;32;41;59;35;33;29;30;54;53
37;Полуянова Валентина Михайловна;547.0;35;32;45;48;38;56;52;57;48;58;78
38;Постаногов Игорь Викторович;76.0;3;6;7;1;11;9;10;3;5;11;10
39;Прихидный Кирилл Александрович;949.0;95;65;88;51;130;116;90;70;89;87;68
40;Рябец Ирина Анатольевна;495.0;76;23;30;41;58;32;29;28;26;92;60
41;Святошова Юлия Васильевна;241.0;15;12;24;8;20;20;40;31;22;26;23
42;Соболев Евгений Андреевич;374.0;23;28;25;23;30;29;45;53;24;37;57
43;Таранов Антон Владимирович;948.0;95;70;92;53;122;121;81;68;89;84;73
44;Углова Елена Константиновна;172.0;11;6;21;12;21;18;14;18;20;10;21
45;Фадеев Александр Валерьевич;116.0;8;6;13;9;8;6;11;8;13;23;11
46;Черезова Ольга Владимировна;1005.0;52;34;79;56;73;124;132;119;131;81;124
