;name;overall;УИК №1616;УИК №1617;УИК №1618;УИК №1619;УИК №1620;УИК №1621;УИК №1622;УИК №1623;УИК №1624;УИК №1625;УИК №1626;УИК №1627;УИК №1628;УИК №1629;УИК №1630;УИК №1631
14;Агафонцев Александр Сергеевич;666.0;48;45;57;65;33;39;49;31;35;76;20;58;39;24;10;37
15;Боровова Ирина Валерьевна;1524.0;81;68;111;106;88;89;86;107;104;117;100;133;101;62;32;139
16;Гишко Наталья Юрьевна;858.0;42;24;76;37;34;36;64;53;65;91;41;77;85;44;19;70
17;Горбунов Игорь Геннадьевич;832.0;39;30;92;39;35;51;62;43;51;86;39;74;59;39;19;74
18;Давыдов Алексей Владимирович;462.0;34;29;33;42;28;32;33;20;28;41;19;30;30;22;10;31
19;Дмитриева Ольга Михайловна;1514.0;81;66;100;96;90;98;92;110;85;121;103;139;103;55;29;146
20;Еленский Владислав Олегович;547.0;36;23;38;31;34;34;35;35;34;64;28;46;32;35;14;28
21;Игнаток Николай Владимирович;236.0;12;12;25;6;13;12;15;7;13;24;8;16;17;9;11;36
22;Козадаев Сергей Сергеевич;339.0;16;17;23;22;15;22;28;19;26;31;27;19;24;15;7;28
23;Козлович Вадим Николаевич;508.0;31;29;32;40;27;20;36;26;33;62;39;36;45;16;6;30
24;Коломаченко Александр Михайлович;1507.0;80;61;94;93;88;82;95;114;90;131;101;135;96;59;33;155
25;Крутер Ирина Викторовна;1477.0;76;65;94;98;88;93;81;115;82;129;101;133;93;58;36;135
26;Куранина Надежда Михайловна;1446.0;74;59;82;83;76;93;75;104;90;131;112;142;95;54;38;138
27;Курашев Антон Геннадьевич;509.0;37;25;30;38;25;33;36;27;31;59;29;36;44;17;5;37
28;Молчанов Георгий Евгеньевич;768.0;33;22;81;39;35;42;62;52;45;83;31;74;55;38;17;59
29;Паньшин Виктор Николаевич;488.0;37;30;42;32;42;30;30;14;24;44;23;37;33;27;11;32
30;Серов Геннадий Геннадьевич;341.0;26;41;25;16;18;31;46;16;14;26;11;17;18;7;2;27
31;Снежко Татьяна Анатольевна;1113.0;44;37;115;49;62;47;79;58;89;124;52;93;75;63;23;103
32;Фролова Мария Александровна;897.0;44;27;87;38;43;43;53;52;64;90;53;77;80;49;20;77
