;name;overall;УИК №2996;УИК №2997;УИК №2998;УИК №2999;УИК №3000;УИК №3001;УИК №3002;УИК №3003;УИК №3004;УИК №3005;УИК №3006;УИК №3007;УИК №3008
14;Варгамян Марина Викторовна;1613.0;104;124;81;117;84;134;86;96;121;120;176;207;163
15;Волкова Светлана Анатольевна;1466.0;133;154;97;134;121;149;96;97;102;72;106;103;102
16;Гулякин Михаил Андреевич;475.0;38;48;35;36;38;39;21;38;24;34;45;29;50
17;Ермольчев Виталий Васильевич;223.0;18;17;17;26;22;21;11;16;8;16;18;13;20
18;Жарова Елена Борисовна;1427.0;122;138;87;132;100;148;90;89;103;84;123;115;96
19;Зайцев Роман Александрович;198.0;17;25;16;18;12;14;13;14;13;10;20;16;10
20;Карашевская Анна Александровна;1054.0;78;100;56;67;63;74;64;77;69;95;107;115;89
21;Коротаев Геннадий Алексеевич;598.0;66;55;34;25;40;53;40;38;34;53;64;63;33
22;Малюкова Ольга Владимировна;726.0;47;72;53;60;37;51;67;58;49;42;73;70;47
23;Морозова Вера Владимировна;973.0;72;84;59;60;62;69;56;54;75;78;110;134;60
24;Петрусёва Ольга Александровна;1154.0;100;117;98;93;85;115;65;78;68;88;82;87;78
25;Полозков Антон Сергеевич;350.0;30;40;33;27;25;25;15;21;20;28;33;20;33
26;Прокофьев Андрей Александрович;1126.0;87;109;57;75;67;90;69;93;79;84;115;113;88
27;Рощин Евгений Борисович;294.0;19;28;21;16;24;26;24;13;33;14;31;20;25
28;Рудаков Алексей Алексеевич;856.0;68;75;39;63;52;74;51;63;62;60;88;98;63
29;Сидоров Игорь Викторович;199.0;11;16;13;14;17;15;7;16;18;8;29;30;5
30;Смолов Сергей Юрьевич;469.0;41;40;29;33;33;39;21;29;39;55;43;29;38
31;Соловьев Игорь Сергеевич;982.0;95;93;49;75;73;107;69;62;73;57;75;81;73
32;Тупиков Максим Михайлович;197.0;17;22;13;12;21;16;9;16;17;11;17;16;10
33;Фролов Константин Владимирович;410.0;39;38;30;29;20;39;16;26;25;31;53;28;36
34;Чернов Андрей Александрович;165.0;10;12;16;20;12;12;9;5;10;13;19;16;11
35;Чириков Денис Борисович;322.0;20;27;31;18;28;29;16;27;17;25;42;21;21
