;name;overall;УИК №3140;УИК №3141;УИК №3142;УИК №3143;УИК №3144;УИК №3145;УИК №3146;УИК №3147;УИК №3149;УИК №3152;УИК №3153;УИК №3154
14;Анненкова Валерия Валерьевна;329.0;40;46;39;29;35;18;26;28;17;11;19;21
15;Арзуманова Анна Арменовна;286.0;21;17;29;34;26;17;19;29;32;21;23;18
16;Борисова Нина Леонидовна;1632.0;158;156;152;156;144;91;124;180;155;91;83;142
17;Воловец Светлана Альбертовна;1507.0;151;148;142;129;129;87;117;151;161;91;74;127
18;Идзиковский Евгений Викторович;762.0;94;49;74;83;79;40;52;52;73;45;61;60
19;Климов Сергей Владимирович;317.0;23;26;31;48;26;19;34;32;24;25;11;18
20;Лободюк Надежда Николаевна;643.0;54;41;58;87;47;44;69;52;71;47;41;32
21;Майорова Олеся Николаевна;944.0;100;121;116;103;88;60;51;51;77;80;60;37
22;Марусов Сергей Александрович;191.0;15;13;16;27;13;12;20;18;16;18;9;14
23;Медведев Михаил Игоревич;1331.0;167;139;113;93;127;66;107;135;128;80;59;117
24;Петрова Марианна Сергеевна;867.0;79;107;104;99;79;65;57;64;64;73;51;25
25;Селин Михаил Владимирович;150.0;14;7;13;15;11;12;12;14;13;14;8;17
26;Семенихин Павел Владимирович;1237.0;139;129;103;89;112;73;90;123;129;74;66;110
27;Сидоров Игорь Викторович;190.0;23;12;15;21;11;17;20;14;15;16;13;13
28;Спорыхин Александр Михайлович;136.0;14;7;11;22;8;5;14;11;15;7;8;14
29;Шапошникова Анна Светлана Альфредовна;1245.0;132;127;133;131;115;75;83;81;117;119;79;53
