;name;overall;УИК №1391;УИК №1395;УИК №1401;УИК №1402;УИК №1403;УИК №1404;УИК №1406;УИК №1407
14;Аладьина Виктория Витальевна;723.0;102;70;104;92;73;97;75;110
15;Алешин Владимир Васильевич;670.0;77;70;80;93;92;60;85;113
16;Бирюкова Ирина Валерьевна;853.0;109;84;90;65;135;130;98;142
17;Воробьев Григорий Петрович;238.0;55;27;29;21;24;26;21;35
18;Вострикова Ольга Васильевна;143.0;31;10;9;13;18;23;19;20
19;Дементьева Елена Викторовна;263.0;40;27;28;31;37;35;28;37
20;Душенко Вячеслав Владимирович;196.0;45;16;16;18;25;28;18;30
21;Емельянов Ярослав Александрович;534.0;40;41;80;58;68;88;55;104
22;Калягина Екатерина Андреевна;565.0;47;40;101;69;74;89;51;94
23;Ключникова Любовь Ивановна;149.0;24;16;16;18;20;23;17;15
24;Котомина Елена Геннадьевна;903.0;133;95;76;54;145;140;108;152
25;Кучеров Иван Сергеевич;126.0;29;11;14;16;15;11;14;16
26;Машкина Юлия Николаевна;159.0;23;16;23;19;16;22;20;20
27;Назаренко Марина Дмитриевна;327.0;50;34;37;39;39;32;41;55
28;Островский Иван Сергеевич;177.0;30;21;25;18;25;20;18;20
29;Пахомов Владимир Геннадьевич;766.0;120;78;79;45;112;121;82;129
30;Примаков Павел Яковлевич;622.0;47;55;79;166;60;60;67;88
31;Протасов Роман Игоревич;126.0;20;12;9;7;20;12;19;27
32;Ребров Сергей Леонидович;683.0;106;67;60;43;107;115;74;111
33;Сетдинов Ильяс Равилевич;477.0;30;44;57;67;61;60;78;80
34;Солуянов Александр Павлович;164.0;17;18;24;12;19;26;18;30
35;Сурков Михаил Юрьевич;994.0;131;103;110;61;160;163;110;156
36;Ткаченко Сергей Николаевич;115.0;23;17;7;10;17;13;13;15
37;Чивиков Андрей Владимирович;581.0;43;44;72;87;76;68;76;115
