;name;overall;УИК №2553;УИК №2554;УИК №2555;УИК №2556;УИК №2557
14;Айрапетов Александр Александрович;156.0;24;36;36;33;27
15;Алёхина Наталья Анатольевна;554.0;90;86;162;83;133
16;Апсов Альберт Артурович;53.0;13;6;17;12;5
17;Быхалова Татьяна Александровна;50.0;14;7;6;11;12
18;Востриков Максим Тимофеевич;65.0;11;10;16;12;16
19;Дрокин Сергей Александрович;226.0;43;33;77;36;37
20;Жаркова Инна Евгеньевна;350.0;65;46;67;79;93
21;Ивлиева Ирина Николаевна;432.0;76;74;163;55;64
22;Канделаки Долорес Андреевна;30.0;6;4;7;4;9
23;Макмаевский Андрей Александрович;77.0;21;20;15;10;11
24;Мельников Анатолий Авионирович;444.0;70;71;129;85;89
25;Пасичный Александр Петрович;150.0;27;19;35;24;45
26;Смышляев Алексей Анатольевич;527.0;96;86;159;95;91
27;Судаев Василий Иванович;146.0;29;27;30;24;36
28;Тарасова Валентина Алексеевна;540.0;95;75;125;118;127
29;Ткачук Николай Васильевич;79.0;18;4;20;18;19
30;Хашимова Ирина Львовна;391.0;68;75;131;62;55
31;Цапенко Сергей Валерьевич;267.0;38;41;93;44;51
32;Шаргатова Зоя Ивановна;235.0;31;30;42;57;75
