;name;overall;УИК №2667;УИК №2668;УИК №2669;УИК №2670;УИК №2671;УИК №2672;УИК №2673;УИК №2678;УИК №2681;УИК №2682;УИК №2695;УИК №2696;УИК №2697;УИК №2698;УИК №2699;УИК №2700;УИК №2701;УИК №2702
14;Абрамкин Владимир Иванович;330.0;26;17;19;14;25;20;17;13;10;25;23;19;13;19;17;11;17;25
15;Богданова Елена Геннадиевна;519.0;30;28;15;17;30;28;34;22;24;26;37;26;23;20;38;34;28;59
16;Братухин Руслан Юрьевич;272.0;21;42;10;14;14;12;20;7;10;15;19;12;8;6;15;17;13;17
17;Бубенцов Александр Евгеньевич;594.0;44;31;25;32;31;32;25;29;28;37;44;27;33;36;36;22;32;50
18;Бутузов Александр Викторович;273.0;17;19;11;13;17;23;19;10;13;21;22;17;17;12;9;10;9;14
19;Гаврилов Юрий Николаевич;476.0;28;29;7;13;9;10;23;14;8;23;35;34;22;16;41;22;50;92
20;Двинянин Егор Александрович;826.0;52;40;41;25;38;25;48;39;31;39;57;36;34;60;68;78;27;88
21;Джума Светлана Геннадиевна;1538.0;98;74;98;59;57;60;77;79;43;140;145;121;114;92;92;62;67;60
22;Доценко Владимир Александрович;532.0;109;30;27;17;22;29;30;22;17;42;27;30;21;31;22;10;23;23
23;Иванов Александр Николаевич;462.0;52;20;12;15;15;10;15;12;8;20;26;37;14;15;24;12;112;43
24;Кравченко Дмитрий Игоревич;332.0;13;20;7;19;23;22;19;14;9;34;26;18;12;25;16;14;16;25
25;Краснова Людмила Никифоровна;320.0;13;22;16;14;16;19;21;17;7;27;25;21;23;20;12;14;16;17
26;Краснопольская Светлана Михайловна;1615.0;104;98;81;71;58;73;100;75;49;126;154;117;128;102;81;70;62;66
27;Крючков Вадим Александрович;569.0;45;29;20;23;24;22;31;23;17;31;39;44;26;20;40;22;59;54
28;Кустов Евгений Александрович;763.0;51;30;38;32;40;27;44;54;24;38;47;31;28;32;68;65;25;89
29;Никишина Ольга Евгеньевна;703.0;47;39;26;22;23;21;28;10;8;23;29;63;35;25;46;44;141;73
30;Потаева Анна Александровна;1245.0;65;70;69;56;48;61;72;72;40;95;106;91;91;79;66;49;61;54
31;Савельева Анна Владимировна;1668.0;101;86;86;65;59;61;86;70;51;118;176;134;142;113;92;80;77;71
32;Салов Дмитрий Олегович;932.0;81;49;40;21;23;27;43;32;15;51;61;98;68;58;60;63;69;73
33;Селифанов Андрей Игоревич;441.0;28;30;15;22;30;28;18;25;16;20;30;19;27;25;25;24;31;28
34;Смехов Григорий Владимирович;607.0;35;30;30;24;32;19;25;19;26;38;37;31;29;37;53;48;17;77
35;Смирнов Сергей Петрович;230.0;14;15;14;19;12;10;10;9;6;23;24;13;11;13;13;7;11;6
36;Соболева Ольга Сергеевна;364.0;36;30;15;11;12;19;20;16;10;19;33;20;17;10;23;27;15;31
37;Соколов Александр Владимирович;1263.0;68;86;61;58;43;57;79;60;43;111;115;82;94;81;64;46;63;52
38;Хасанов Руслан Галимжанович;391.0;18;17;13;25;26;32;17;21;18;22;27;21;21;23;27;14;17;32
39;Чумак Игорь Иванович;325.0;20;10;9;20;18;16;15;16;15;19;23;25;19;31;20;12;14;23
