;name;overall;УИК №141;УИК №149;УИК №150;УИК №151;УИК №152
14;Абузяров Руфат Рафаилович;49.0;8;10;10;13;8
15;Алексеев Александр Всеволодович;130.0;21;38;22;31;18
16;Богомолов Дмитрий Александрович;218.0;34;45;41;58;40
17;Большаков Дмитрий Викторович;67.0;17;11;8;22;9
18;Булочников Андрей Владимирович;44.0;9;8;5;13;9
19;Вальдес Одриосола Мария Сантьяговна;179.0;59;31;26;37;26
20;Воевода Николай Дмитриевич;104.0;20;20;20;25;19
21;Востриков Денис Владимирович;630.0;150;102;180;126;72
22;Гусева Елена Анатольевна;120.0;23;24;20;34;19
23;Крюков Антон Васильевич;226.0;27;38;43;72;46
24;Малышев Павел Александрович;493.0;84;108;82;153;66
25;Павленко Ирина Алексеевна;259.0;40;42;59;70;48
26;Певчев Александр Владимирович;69.0;16;5;11;29;8
27;Попова Людмила Петровна;204.0;23;35;43;53;50
28;Сальников Олег Евгеньевич;181.0;25;36;45;39;36
29;Селезнева Светлана Геннадиевна;51.0;13;10;9;11;8
30;Середа Денис Сергеевич;673.0;167;105;192;141;68
31;Словак Татьяна Олеговна;507.0;71;92;86;190;68
32;Титов Вячеслав Константинович;576.0;138;100;151;129;58
33;Тихонов Виталий Иванович;97.0;23;16;15;29;14
34;Щербакова Ольга Анатольевна;492.0;81;113;89;153;56
