;name;overall;УИК №1240;УИК №1241;УИК №1242;УИК №1244;УИК №1245;УИК №1246;УИК №1247;УИК №1251
14;Бурова Елена Сергеевна;291.0;38;37;52;26;45;36;26;31
15;Голованова Лариса Евгеньевна;1237.0;154;120;130;176;245;103;143;166
16;Головкина Анастасия Ивановна;699.0;111;76;106;62;130;72;77;65
17;Диков Евгений Григорьевич;359.0;38;46;60;27;63;48;37;40
18;Дуняшева Алена Владимировна;215.0;28;25;19;25;35;31;25;27
19;Журавлева Галина Яковлевна;1105.0;136;129;122;158;190;86;113;171
20;Карпухин Сергей Дмитриевич;1102.0;138;126;126;168;181;88;114;161
21;Коробанова Надежда Владимировна;229.0;26;22;39;22;34;30;25;31
22;Кучеров Олег Борисович;457.0;62;69;68;50;78;47;44;39
23;Мелехов Иван Александрович;1038.0;139;119;115;145;182;76;113;149
24;Мосин Дмитрий Сергеевич;774.0;115;110;88;81;132;102;87;59
25;Петухова Елена Петровна;220.0;44;31;23;22;23;29;21;27
26;Родионов Вадим Станиславович;653.0;91;58;103;113;87;84;72;45
27;Твердохлебов Андрей Сергеевич;254.0;36;24;41;39;36;37;22;19
28;Трофимова Виталия Станиславовна;571.0;82;61;92;43;116;61;78;38
29;Шавшукова Татьяна Владимировна;769.0;102;71;114;117;148;92;75;50
