;name;overall;УИК №2048;УИК №2049;УИК №2057;УИК №2059;УИК №2062;УИК №2064;УИК №2065;УИК №2066;УИК №2067;УИК №2070;УИК №2071;УИК №2072;УИК №2074;УИК №2075;УИК №2076;УИК №2077
14;Акимов Валерий Михайлович;377.0;21;30;24;16;23;28;27;50;27;19;12;23;14;24;20;19
15;Викулин Петр Николаевич;429.0;23;19;31;19;26;32;27;49;20;28;24;32;21;35;21;22
16;Гаджимурадов Руслан Магомедович;769.0;34;78;36;51;43;55;94;32;50;25;18;82;29;50;49;43
17;Дудина Людмила Сергеевна;287.0;20;11;18;17;15;33;22;50;12;13;7;26;12;9;11;11
18;Жабин Сергей Иванович;1780.0;94;165;117;89;98;89;178;140;63;206;51;153;121;68;54;94
19;Исаев Дмитрий Валерьевич;1098.0;77;78;73;60;73;119;35;25;85;60;42;100;67;78;79;47
20;Каганов Леонид Александрович;950.0;52;71;58;52;46;75;114;31;73;36;41;69;54;68;69;41
21;Копёнкин Евгений Александрович;267.0;22;21;19;18;16;20;10;29;15;17;6;22;17;18;8;9
22;Круглов Денис Викторович;565.0;35;27;32;33;28;44;30;132;36;28;14;41;20;25;14;26
23;Крук Майя Васильевна;324.0;15;19;20;15;21;36;29;34;21;15;11;27;15;20;10;16
24;Кузнецов Руслан Анатольевич;1399.0;75;142;94;141;75;64;111;23;66;105;50;156;98;54;58;87
25;Кузнецов Сергей Анатольевич;372.0;11;24;18;14;19;36;21;48;18;23;16;44;17;24;20;19
26;Лошкарева Елизавета Львовна;240.0;14;23;18;19;10;32;18;26;8;9;2;22;8;13;6;12
27;Мальцева Ольга Филипповна;2107.0;95;159;132;156;98;125;156;154;92;203;65;277;132;83;62;118
28;Мокин Игорь Витальевич;221.0;21;10;12;8;13;19;15;26;13;14;6;22;14;10;10;8
29;Савостикова Елена Фаатовна;1669.0;83;135;105;155;81;81;145;132;79;120;57;150;120;66;73;87
30;Серафонтов Евгений Алексеевич;437.0;30;23;30;24;26;36;30;25;36;21;18;51;23;33;12;19
31;Серова Галина Михайловна;379.0;18;26;22;14;18;39;26;50;23;17;15;37;18;31;11;14
32;Тырсин Денис Геннадьевич;1559.0;66;136;124;141;85;75;117;134;65;112;49;157;102;50;60;86
33;Хохряков Данил Валерьянович;238.0;21;17;13;10;14;34;12;26;8;17;7;21;9;14;4;11
34;Чхачхиани Тина Кинтоевна;224.0;8;11;12;13;20;11;21;35;11;16;3;23;14;7;8;11
