;name;overall;УИК №137;УИК №138;УИК №153;УИК №154;УИК №155
14;Абазарли Виктория Андреевна;82.0;17;12;24;14;15
15;Алексеенко Александр Николаевич;58.0;11;12;19;9;7
16;Базлуцкий Роман Павлович;156.0;37;35;34;28;22
17;Браташова Татьяна Александровна;59.0;18;7;13;15;6
18;Григорьев Дмитрий Викторович;217.0;39;45;53;35;45
19;Григорьева Марина Владимировна;457.0;83;120;83;97;74
20;Жук Виктория Васильевна;216.0;32;29;52;50;53
21;Захарова Виталия Евгеньевна;130.0;21;31;42;18;18
22;Зимин Александр Георгиевич;121.0;27;25;36;19;14
23;Купрова Елена Викторовна;494.0;66;130;107;101;90
24;Литвин Никита Сергеевич;643.0;119;169;171;111;73
25;Мамичев Александр Георгиевич;229.0;37;33;72;33;54
26;Наркунене Людмила Николаевна;471.0;71;108;95;97;100
27;Павленко Александр Александрович;132.0;19;33;28;29;23
28;Пищулина Екатерина Сергеевна;86.0;22;14;18;13;19
29;Семененко Виталий Владимирович;308.0;62;86;59;50;51
30;Федосеев Ярослав Юрьевич;55.0;16;5;8;17;9
31;Ханнанов Денис Ирэкович;27.0;3;9;5;8;2
32;Чирков Максим Александрович;61.0;13;8;18;11;11
33;Шульга Юлия Юрьевна;409.0;63;89;137;68;52
34;Якубович Яков Борисович;703.0;125;178;203;111;86
