;name;overall;УИК №1726;УИК №1732;УИК №1733;УИК №1734;УИК №1735;УИК №1736;УИК №1737;УИК №1738;УИК №1739;УИК №1740;УИК №1741;УИК №1742;УИК №1743
14;Азымова Татьяна Иннокентьевна;301.0;23;34;29;27;34;14;11;25;25;16;20;24;19
15;Будько Дмитрий Федорович;484.0;38;50;53;41;45;30;28;39;62;24;29;25;20
16;Власенко Антон Юрьевич;1314.0;70;93;108;103;131;102;86;109;117;88;95;128;84
17;Глушко Антон Алексеевич;900.0;36;88;80;55;97;70;55;99;121;50;65;53;31
18;Димура Сергей Валентинович;211.0;19;21;21;18;27;12;10;18;19;8;17;14;7
19;Дылько Анастасия Святославовна;302.0;29;33;33;22;30;19;12;16;33;18;24;24;9
20;Жукова Татьяна Константиновна;331.0;24;25;25;24;42;20;15;33;27;18;26;32;20
21;Иванов Валерий Иванович;696.0;35;78;49;68;63;17;48;59;75;50;51;57;46
22;Иванов-Якушко Игорь Юрьевич;442.0;38;35;40;32;30;33;22;37;54;29;36;31;25
23;Коростелкин Сергей Анатольевич;256.0;15;22;28;27;23;21;12;16;33;11;21;17;10
24;Леонова Любовь Михайловна;1254.0;67;86;107;105;129;85;79;98;125;82;103;127;61
25;Лисина Ольга Михайловна;1122.0;53;93;108;78;111;82;71;121;132;69;91;68;45
26;Лытаев Евгений Юрьевич;305.0;21;31;37;24;30;18;18;21;35;17;24;20;9
27;Мельниченко Светлана Юрьевна;136.0;11;8;14;9;14;15;8;6;14;4;17;13;3
28;Негрустуев Олег Андреевич;303.0;20;22;11;14;20;16;6;43;78;34;15;11;13
29;Орехова Ольга Анатольевна;693.0;27;55;63;42;63;53;39;65;85;44;42;81;34
30;Романов Никита Романович;459.0;24;68;39;31;40;22;22;49;58;31;27;25;23
31;Романова Ирина Викторовна;1392.0;71;96;131;122;130;98;88;128;116;94;101;141;76
32;Серегин Александр Викторович;1288.0;62;92;139;103;131;88;75;93;128;88;93;122;74
33;Спасёнков Владимир Николаевич;461.0;21;16;28;29;38;15;13;25;39;42;61;107;27
34;Фролова Наталья Анатольевна;263.0;15;16;26;24;20;16;12;15;23;9;36;33;18
35;Ханин Дмитрий Анатольевич;416.0;42;43;39;37;41;25;21;27;43;24;31;27;16
36;Черников Андрей Владимирович;832.0;33;68;97;56;83;61;49;95;114;47;43;53;33
37;Чинилина Ирина Викторовна;1532.0;69;107;126;112;125;93;86;121;130;126;162;185;90
