;name;overall;УИК №894;УИК №895;УИК №896;УИК №897;УИК №898;УИК №899;УИК №900;УИК №901;УИК №902;УИК №903;УИК №904;УИК №905
14;Абрамов Игорь Сергеевич;464.0;60;41;37;48;28;54;38;2;33;55;35;33
15;Акмалов Руслан Рамилевич;463.0;41;22;37;16;21;57;28;3;101;39;48;50
16;Афанасьев Василий Павлович;619.0;49;67;32;42;63;62;51;3;57;49;94;50
17;Бабаев Андрей Владимирович;909.0;75;92;52;70;83;80;78;6;95;83;112;83
18;Баканина Татьяна Эдуардовна;281.0;35;24;28;19;19;47;17;1;17;20;31;23
19;Баландин Александр Иванович;215.0;21;16;9;18;14;25;27;1;19;24;18;23
20;Бобринский Андрей Алексеевич;360.0;39;25;104;38;2;36;19;1;16;29;24;27
21;Букреев Виктор Васильевич;176.0;22;15;11;21;24;21;16;1;8;6;13;18
22;Гнитиенко Андрей Владимирович;263.0;23;26;20;31;12;29;24;2;13;26;37;20
23;Качковский Александр Константинович;474.0;40;47;42;41;34;66;48;3;32;37;34;50
24;Кикория Гиви Леварсович;161.0;22;13;13;18;7;25;11;0;11;17;12;12
25;Кудинова Ольга Александровна;1539.0;134;141;124;101;153;219;157;10;167;134;85;114
26;Мартынов Павел Игоревич;126.0;10;7;9;14;14;13;11;1;11;10;6;20
27;Марчуков Василий Викторович;311.0;38;25;37;37;14;45;19;2;19;21;31;23
28;Мишкеева Элина Александровна;300.0;29;25;24;27;23;28;31;2;25;22;39;25
29;Мурынина Ирина Викторовна;1501.0;156;135;133;116;159;188;141;9;144;127;94;99
30;Самсонов Никита Михайлович;161.0;19;13;13;17;11;12;18;0;13;11;21;13
31;Смирнов Андрей Олегович;629.0;44;76;28;38;68;56;49;2;57;59;97;55
32;Старшинов Максим Валерьевич;454.0;54;39;42;41;21;51;34;1;32;27;66;46
33;Стельмахова Александра Викторовна;385.0;41;31;33;45;18;28;26;0;16;30;58;59
34;Студенцов Станислав Андреевич;160.0;11;8;12;12;14;25;15;0;9;16;17;21
35;Субботин Евгений Никитович;448.0;42;44;48;55;25;42;24;0;29;39;51;49
36;Титов Валерий Олегович;1335.0;122;123;131;109;139;189;125;7;117;103;74;96
37;Филипенков Виталий Владимирович;1254.0;110;124;131;90;132;180;120;4;117;90;69;87
38;Хавронина Ирина Петровна;537.0;48;36;60;31;47;70;41;18;56;32;41;57
39;Хайкина Татьяна Васильевна;1626.0;121;140;138;106;184;250;180;10;175;132;76;114
40;Шагвалеев Руслан Маратович;308.0;28;46;24;26;20;28;28;4;25;15;36;28
41;Шереметьев Олег Михайлович;440.0;39;40;34;44;19;44;50;3;21;36;60;50
