;name;overall;УИК №753;УИК №754;УИК №755;УИК №756;УИК №757
14;Викулова Татьяна Михайловна;744.0;148;150;148;152;146
15;Волков Дмитрий Сергеевич;500.0;73;91;129;114;93
16;Герасимова Наталья Анатольевна;724.0;134;137;133;174;146
17;Гладышев Владимир Иванович;261.0;58;57;48;55;43
18;Демидова Елена Петровна;237.0;42;51;38;55;51
19;Ермакова Ирина Юрьевна;437.0;64;88;124;84;77
20;Киктев Вадим Вячеславович;271.0;46;53;36;77;59
21;Краморова Лариса Николаевна;436.0;61;80;110;92;93
22;Кудрявцев Станислав Олегович;620.0;108;117;123;140;132
23;Курносов Сергей Сергеевич;112.0;24;23;16;26;23
24;Ляхов Никита Петрович;124.0;23;24;20;29;28
25;Петрова Светлана Николаевна;635.0;107;119;132;138;139
26;Разуванов Сергей Вячеславович;162.0;35;23;24;46;34
27;Садыков Николай Сергеевич;146.0;22;30;33;28;33
28;Семанов Лев Юрьевич;139.0;23;22;32;35;27
29;Степкин Евгений Валериевич;65.0;12;14;15;14;10
30;Тарасенко Эдуард Александрович;84.0;18;19;18;17;12
31;Титова Мария Германовна;137.0;28;22;32;32;23
32;Хамидулин Эрик Артурович;38.0;9;5;11;7;6
33;Хлопин Андрей Борисович;205.0;37;37;40;56;35
34;Шнейд-Миллер Лита Константиновна;38.0;9;6;6;10;7
