;name;overall;УИК №748;УИК №749;УИК №750;УИК №751;УИК №752
14;Адашкевич Андрей Владимирович;145.0;35;24;20;39;27
15;Андреева Валерия Васильевна;275.0;61;52;55;68;39
16;Болотин Владимир Геннадьевич;94.0;27;18;16;14;19
17;Гладкова Юлия Генриховна;180.0;40;28;34;47;31
18;Губанова Инна Константиновна;749.0;210;90;179;150;120
19;Енютин Артём Сергеевич;98.0;27;16;17;24;14
20;Ефимов Максим Владимирович;119.0;25;17;31;20;26
21;Земенков Михаил Владимирович;674.0;204;79;166;108;117
22;Калинин Михаил Рудольфович;839.0;226;105;199;148;161
23;Карабицкая Елена Сергеевна;408.0;93;39;121;84;71
24;Кульчицкая Ольга Зиновьевна;516.0;99;107;103;120;87
25;Лучков Александр Львович;495.0;73;92;85;116;129
26;Маклюева Анна Евгеньевна;608.0;91;140;120;129;128
27;Маракулин Александр Алексеевич;588.0;97;114;116;137;124
28;Маслов Олег Викторович;123.0;22;23;23;27;28
29;Митрофанова Ирина Эдуардовна;723.0;199;84;187;130;123
30;Петухова Татьяна Николаевна;382.0;77;72;66;92;75
31;Пожитков Анатолий Федорович;165.0;40;34;40;27;24
32;Полякова Ольга Михайловна;128.0;37;24;25;26;16
33;Соколов Александр Александрович;185.0;41;32;52;26;34
34;Тихонова Елена Валерьевна;173.0;42;32;45;29;25
35;Ушаков Федор Александрович;99.0;30;20;14;17;18
36;Хоркина Татьяна Павловна;655.0;182;72;165;117;119
37;Шнейд-Миллер Лита Константиновна;93.0;24;15;14;20;20
