;name;overall;УИК №906;УИК №907;УИК №908;УИК №909;УИК №910;УИК №911;УИК №912;УИК №913;УИК №914;УИК №915;УИК №916;УИК №917
14;Баринова Нонна Автандиловна;1250.0;79;70;64;111;115;98;102;118;161;84;134;114
15;Башнин Андрей Алексеевич;125.0;8;10;1;11;15;9;12;8;14;14;11;12
16;Борисов Эдуард Леонидович;364.0;19;19;24;42;53;38;32;37;36;26;20;18
17;Верников Богдан Витальевич;120.0;8;6;4;6;10;13;11;9;12;13;15;13
18;Ганиев Хабибулла Габдуллович;1040.0;66;71;85;106;104;66;89;94;106;72;92;89
19;Гентер Евгений Золтанович;69.0;7;21;2;6;3;7;8;1;3;5;1;5
20;Димитриев Виталий Николаевич;749.0;36;48;44;56;60;95;76;84;68;51;68;63
21;Иванов Дмитрий Михайлович;848.0;25;49;28;96;77;151;81;98;88;46;66;43
22;Кац Елена Леонидовна;1295.0;94;73;78;123;124;112;106;104;154;82;133;112
23;Колобов Юрий Васильевич;229.0;13;21;12;27;26;20;19;27;19;14;18;13
24;Колосова Виктория Вольдемаровна;960.0;57;54;59;99;85;70;82;82;125;65;105;77
25;Колычев Константин Владимирович;277.0;20;22;17;31;31;16;23;20;23;14;37;23
26;Комаров Никита Юрьевич;894.0;51;83;52;71;99;147;67;76;91;61;62;34
27;Кузнецов Андрей Олегович;205.0;18;16;18;19;24;9;14;24;21;8;20;14
28;Леонюк Петр Степанович;640.0;19;40;30;51;41;72;58;81;70;47;55;76
29;Лобанов Геннадий Геннадьевич;1054.0;67;60;54;102;106;73;91;102;135;65;111;88
30;Лоцев Алексей Игоревич;193.0;12;11;15;14;24;17;16;21;21;13;16;13
31;Махортов Александр Николаевич;249.0;16;24;20;12;30;22;19;21;33;15;22;15
32;Мельник Игорь Дмитриевич;420.0;15;27;18;32;26;48;50;51;43;27;41;42
33;Мишин Николай Николаевич;225.0;11;16;15;15;17;13;21;23;29;21;26;18
34;Нестеренко Евгений Васильевич;110.0;8;12;4;14;10;9;13;9;10;7;8;6
35;Привалов Антон Евгеньевич;83.0;4;10;1;4;14;7;9;4;9;6;7;8
36;Прокошин Андрей Викторович;256.0;18;19;14;17;32;29;20;23;28;23;25;8
37;Соловых Валерий Юрьевич;448.0;17;25;15;26;26;62;64;49;38;28;48;50
38;Федоров Максим Михайлович;262.0;18;25;7;21;24;22;29;25;29;28;15;19
39;Чубаров Иван Владимирович;83.0;7;6;2;6;12;8;6;7;10;7;8;4
40;Шагвалеева Мария Вячеславовна;562.0;23;31;32;48;50;57;34;63;64;38;77;45
41;Шевченко Сергей Викторович;231.0;15;30;11;18;25;28;18;17;18;17;18;16
42;Шубина Ольга Васильевна;658.0;27;56;15;27;48;94;74;69;63;35;57;93
