;name;overall;УИК №171;УИК №172;УИК №173;УИК №174;УИК №175;УИК №176;УИК №178;УИК №179;УИК №180
14;Атапин Владимир Андреевич;200.0;26;22;21;20;15;14;28;28;26
15;Бартенева Елена Владимировна;148.0;23;9;22;10;20;12;22;15;15
16;Беликова Елена Александровна;696.0;101;99;81;57;78;58;83;76;63
17;Воробьев Сергей Валерьевич;160.0;21;19;18;15;12;17;20;26;12
18;Воронков Андрей Олегович;1066.0;137;125;139;164;98;98;125;111;69
19;Горбунов Андрей Сергеевич;793.0;99;89;102;79;102;60;82;99;81
20;Иванова Ирина Станиславовна;555.0;58;60;63;51;62;54;87;69;51
21;Ильясов Фаиль Амирович;155.0;13;14;17;12;10;17;49;17;6
22;Кац Максим Петрович;328.0;40;36;35;26;41;35;59;32;24
23;Коваленко Иван Георгиевич;825.0;78;110;88;89;89;63;138;104;66
24;Кукайн Александр Сергеевич;109.0;7;11;12;8;15;16;16;12;12
25;Макшанцев Михаил Николаевич;594.0;77;70;70;56;76;49;65;63;68
26;Мелькумов Александр Александрович;927.0;170;99;91;134;93;109;106;81;44
27;Парушина Александра Евгеньевна;1540.0;232;171;183;224;163;159;184;137;87
28;Пешков Николай Андреевич;640.0;91;74;84;54;77;52;64;79;65
29;Пиковская Лея Олеговна;903.0;142;97;99;124;87;114;96;93;51
30;Полишко Александр Львович;166.0;23;13;20;12;17;18;22;20;21
31;Пономарев Андрей Львович;128.0;18;15;5;13;15;18;15;18;11
32;Ротмистров Алексей Николаевич;360.0;39;53;38;43;31;29;50;43;34
33;Руденко Андрей Викторович;688.0;86;88;84;56;84;55;71;94;70
34;Сидоров Ярослав Северович;236.0;38;23;19;20;18;28;39;28;23
35;Сидорова Ирина Игоревна;71.0;10;6;5;9;7;10;8;11;5
36;Сомов Владислав Александрович;815.0;72;104;88;80;89;62;127;127;66
37;Тревашова Инга Николаевна;739.0;60;98;76;73;87;61;126;116;42
38;Чичи Наталия Софоклиевна;1418.0;186;158;161;211;156;142;181;144;79
39;Чудновский Александр Олегович;994.0;106;119;125;121;122;80;140;96;85
