;name;overall;УИК №2126;УИК №2128;УИК №2131;УИК №2132;УИК №2133;УИК №2134;УИК №2135;УИК №2136;УИК №2137;УИК №2138
14;Антонов Виктор Дмитриевич;242.0;27;36;18;27;15;23;19;34;22;21
15;Вершинина Лилия Геннадьевна;856.0;104;93;40;74;66;51;90;133;124;81
16;Донцова Ирина Юрьевна;1179.0;148;110;81;96;163;107;157;145;76;96
17;Жуйкова Надежда Михайловна;993.0;115;87;67;86;138;85;135;115;67;98
18;Завьялов Михаил Михайлович;65.0;4;15;3;6;5;6;5;11;6;4
19;Зеленский Андрей Борисович;200.0;23;19;15;14;23;29;23;13;20;21
20;Кабо Ольга Игорьевна;822.0;109;97;44;61;54;67;81;113;125;71
21;Кашпар Филипп Викторович;263.0;23;31;9;25;27;23;32;50;16;27
22;Комарницкий Владимир Геннадьевич;196.0;16;20;15;26;18;21;16;31;12;21
23;Костюченко Сергей Николаевич;93.0;12;14;4;6;6;10;16;3;12;10
24;Мартыненко Сергей Михайлович;166.0;19;11;15;16;16;24;16;10;17;22
25;Образцова Алиса Сергеевна;1372.0;163;115;99;107;157;144;179;173;97;138
26;Савченко Георгий Евгеньевич;576.0;73;59;22;46;39;34;63;94;93;53
27;Сильнов Дмитрий Сергеевич;242.0;20;32;11;20;29;21;28;30;26;25
28;Солина Анастасия Владиславовна;132.0;16;9;6;8;11;19;15;16;11;21
29;Ставинская Анна Сергеевна;249.0;31;32;16;23;27;31;32;19;20;18
30;Тимофеев Андрей Петрович;53.0;6;14;6;4;4;3;4;5;5;2
31;Ушаков Кирилл Олегович;104.0;19;18;5;8;9;7;9;15;9;5
32;Уютнов Андрей Викторович;135.0;8;11;8;12;15;25;11;8;18;19
33;Хананашвили Нодари Лотариевич;1159.0;151;114;72;93;154;108;145;148;77;97
34;Цысарь Алексей Петрович;130.0;14;17;9;9;15;17;11;8;18;12
35;Черногорцева Марина Васильевна;621.0;73;81;25;51;32;37;64;98;103;57
36;Шмакалов Юрий Михайлович;188.0;21;12;21;13;18;28;24;11;18;22
