;name;overall;УИК №1227;УИК №1228;УИК №1230;УИК №1231;УИК №1232;УИК №1233;УИК №1234;УИК №1235;УИК №1236
14;Аданюк Владимир Владимирович;155.0;18;11;18;19;17;15;16;21;20
15;Аксенов Илья Алексеевич;756.0;65;83;85;77;59;132;76;100;79
16;Бакулин Александр Иванович;324.0;53;36;28;14;38;23;28;79;25
17;Банчукова Татьяна Алексеевна;1232.0;64;105;138;125;119;174;182;146;179
18;Барабанов Алексей Юрьевич;221.0;16;15;27;27;27;14;36;34;25
19;Белов Даниил Романович;75.0;8;7;14;10;4;7;8;7;10
20;Егоров Сергей Сергеевич;1047.0;82;114;120;107;106;134;152;101;131
21;Елисеев Александр Сергеевич;187.0;7;21;29;23;19;15;21;35;17
22;Жуков Виктор Дмитриевич;954.0;56;82;117;101;104;138;139;94;123
23;Захарова Екатерина Сергеевна;221.0;23;16;24;26;19;19;30;39;25
24;Зинова Галина Яковлевна;915.0;50;72;122;91;101;133;136;101;109
25;Молочко Александр Михайлович;113.0;9;12;13;7;9;11;18;17;17
26;Орлов Ринат Иосифович;166.0;15;14;11;14;21;14;29;31;17
27;Пашковский Владислав Владимирович;98.0;10;8;29;5;3;7;13;9;14
28;Певунов Дмитрий Станиславович;831.0;73;82;90;92;65;141;108;107;73
29;Рунтов Иван Иванович;204.0;28;21;19;17;21;17;33;33;15
30;Сокирко Дмитрий Владимирович;82.0;8;7;9;11;5;5;14;13;10
31;Соловкин Юрий Валерьевич;653.0;56;61;67;80;49;125;82;76;57
32;Суркова Ирина Николаевна;251.0;21;24;30;31;30;24;30;36;25
33;Сычев Ян Валерьевич;206.0;13;15;33;51;11;24;25;21;13
34;Черпакова Галия Садековна;832.0;62;76;90;105;62;179;103;86;69
35;Шарова Наталия Николаевна;462.0;37;31;80;54;34;62;46;71;47
