;name;overall;УИК №2396;УИК №2397;УИК №2398;УИК №2399;УИК №2400;УИК №2401;УИК №2402;УИК №2404;УИК №2405;УИК №2407
14;Вартанян Тигран Сергеевич;164.0;17;9;15;20;20;19;15;20;19;10
15;Виленц Алексей Викторович;927.0;92;66;122;76;120;116;122;71;98;44
16;Геворкян Гаянэ Андреевна;104.0;8;5;12;9;10;10;9;11;17;13
17;Горошков Артем Борисович;319.0;31;20;26;33;64;26;35;34;30;20
18;Грибачева Елена Анатольевна;319.0;33;33;30;38;36;33;41;29;32;14
19;Карпович Станислав Валерьевич;901.0;88;65;136;82;124;105;104;64;92;41
20;Колбасина Дарья Ашотовна;102.0;14;9;1;10;16;12;16;9;9;6
21;Кондрашев Андрей Валериевич;184.0;13;14;9;12;18;14;15;67;13;9
22;Лаврикова Валентина Ивановна;1126.0;109;90;104;83;151;146;138;128;102;75
23;Минаева Екатерина Васильевна;884.0;75;78;81;66;99;98;102;116;113;56
24;Назарова Юлия Владимировна;996.0;81;87;86;70;101;131;135;126;111;68
25;Рубин Александр Юрьевич;898.0;96;72;119;105;101;113;106;65;81;40
26;Садикова Ольга Леонидовна;844.0;76;83;77;69;67;113;112;97;98;52
27;Щербакова Юлия Анатольевна;972.0;93;74;155;91;113;114;110;74;99;49
