;name;overall;УИК №3186;УИК №3187;УИК №3196;УИК №3197;УИК №3198;УИК №3199;УИК №3200;УИК №3201;УИК №3202;УИК №3203;УИК №3204;УИК №3205;УИК №3206;УИК №3207;УИК №3208;УИК №3209;УИК №3210;УИК №3211;УИК №3212;УИК №3213
14;Аввакумова Анна Сергеевна;151.0;4;7;7;3;7;14;7;6;14;12;10;10;9;3;3;6;10;8;8;3
15;Андросов Сергей Михайлович;192.0;6;17;6;8;7;13;10;5;14;18;14;15;12;4;4;4;6;6;13;10
16;Бандурин Алексей Валериевич;181.0;6;8;7;14;8;12;4;6;7;14;14;8;5;8;6;9;15;13;13;4
17;Борзов Николай Сергеевич;239.0;15;13;3;7;13;21;12;13;24;11;12;10;12;10;8;6;18;9;12;10
18;Галаджий Илья Дмитриевич;146.0;7;14;2;4;7;12;7;9;8;11;6;6;4;2;5;12;11;5;6;8
19;Гамолин Александр Вадимович;138.0;5;6;4;14;7;7;5;3;8;9;6;8;4;7;7;3;9;16;5;5
20;Головачёва Анастасия Николаевна;355.0;16;19;12;12;27;31;20;21;32;23;22;21;15;12;6;13;11;10;17;15
21;Головин Григорий Леонидович;313.0;19;14;12;16;15;25;20;12;24;11;19;14;18;9;7;16;20;13;15;14
22;Гудков Денис Александрович;244.0;11;12;3;9;16;17;9;8;16;15;16;10;11;12;8;10;15;13;13;20
23;Дависвич Денис Анатольевич;489.0;16;29;20;23;24;23;24;15;2;37;41;46;19;5;8;14;34;37;30;42
24;Далечин Василий Юрьевич;181.0;5;12;3;12;16;12;9;8;4;11;7;15;6;7;4;9;10;16;11;4
25;Дружинина Людмила Сергеевна;418.0;13;18;21;23;31;10;19;21;30;22;29;25;18;15;19;17;30;15;20;22
26;Жагина Ольга Михайловна;306.0;12;13;14;12;19;21;14;25;20;20;14;22;9;14;11;11;14;12;10;19
27;Зыза Юрий Анатольевич;275.0;9;13;18;17;16;10;9;10;17;13;15;26;17;6;8;10;13;9;21;18
28;Кодзасов Василий Игоревич;583.0;17;46;25;28;28;25;23;17;4;41;48;61;31;12;7;17;38;32;35;48
29;Королева Елена Владимировна;269.0;11;14;12;9;17;20;14;20;14;17;17;19;9;13;9;7;10;9;15;13
30;Крупенников Павел Игоревич;241.0;6;21;8;15;8;19;8;15;9;11;16;11;15;5;8;13;18;8;17;10
31;Кузнецова Дарья Александровна;288.0;14;18;11;9;23;17;21;27;11;17;11;14;13;12;8;7;5;13;18;19
32;Марченко Надежда Николаевна;345.0;16;18;10;13;25;22;15;26;22;33;19;19;11;17;11;13;13;14;12;16
33;Немец Антон Ролланович;411.0;29;22;13;16;25;25;20;27;24;28;29;25;25;13;9;12;21;16;12;20
34;Овсянников Сергей Васильевич;1668.0;50;76;54;73;127;74;71;83;112;84;111;81;85;62;55;76;103;98;120;73
35;Палкина Светлана Сергеевна;448.0;16;30;28;24;33;11;10;34;15;17;15;36;23;9;10;20;26;32;27;32
36;Пугачёва Екатерина Викторовна;1582.0;50;73;44;65;115;80;67;87;110;76;108;80;69;55;56;69;93;97;109;79
37;Путивцев Александр Васильевич;485.0;17;25;17;26;47;51;13;22;14;34;22;40;20;14;22;21;18;18;22;22
38;Редин Александр Александрович;282.0;10;19;9;5;15;13;18;19;20;23;15;19;9;11;11;9;17;11;13;16
39;Соколова Алла Викторовна;369.0;9;19;13;22;23;13;9;15;11;21;15;31;15;25;12;20;18;19;25;34
40;Сорокин Сергей Александрович;440.0;12;22;12;19;30;18;18;15;13;23;39;45;16;10;4;16;25;28;35;40
41;Уваркин Денис Александрович;1462.0;39;65;44;52;105;66;61;75;95;72;121;69;61;52;52;68;97;94;109;65
42;Федотова Наталия Николаевна;1733.0;45;83;52;65;143;94;93;85;119;91;121;80;78;65;62;76;100;100;112;69
43;Хохлова Ирина Витальевна;346.0;11;15;10;16;26;26;13;24;3;7;20;24;19;16;11;18;23;17;21;26
44;Чусовитина Елена Юрьевна;1682.0;51;67;53;66;124;79;69;82;118;90;119;76;84;65;66;93;97;93;116;74
