;name;overall;УИК №2973;УИК №2977;УИК №2978;УИК №2979
14;Вольский Станислав Валерьевич;95.0;43;30;9;13
15;Дружинин Владимир Федорович;236.0;95;53;45;43
16;Калыгин Илья Юрьевич;80.0;41;26;9;4
17;Ломанов Алексей Сергеевич;187.0;77;43;45;22
18;Лосев Артем Владимирович;297.0;137;82;55;23
19;Марусов Сергей Александрович;91.0;44;29;10;8
20;Полянин Георгий Константинович;252.0;126;73;40;13
21;Сорокин Алексей Юрьевич;104.0;48;29;12;15
22;Страхов Николай Викторович;647.0;170;121;204;152
23;Сулейманова Аминат Магомедовна;291.0;123;119;30;19
24;Холмовой-Курбанов Эдуард Альбертович;31.0;13;11;4;3
25;Шарапов Евгений Андреевич;119.0;46;35;21;17
26;Шатунов Игорь Николаевич;615.0;175;134;174;132
27;Шелковников Александр Анатольевич;580.0;162;129;167;122
