;name;overall;УИК №281;УИК №282;УИК №300;УИК №301;УИК №302;УИК №303;УИК №304;УИК №305;УИК №306
14;Архипцова Надежда Васильевна;895.0;79;147;100;81;94;103;74;109;108
15;Боголюбов Дмитрий Александрович;243.0;18;34;31;28;28;30;25;20;29
16;Борисова Елена Григорьевна;990.0;87;112;130;108;121;105;97;115;115
17;Волгин Станислав Сергеевич;390.0;36;59;71;31;48;40;24;41;40
18;Выртосу Валерий Александрович;315.0;25;24;41;40;56;38;18;40;33
19;Гришин Степан Алексеевич;856.0;78;95;103;93;102;99;74;102;110
20;Дунаев Виталий Анатольевич;137.0;17;15;22;17;16;13;12;15;10
21;Ермаков Руслан Викторович;251.0;21;22;48;24;42;32;17;19;26
22;Есин Игорь Владимирович;284.0;27;39;45;36;31;31;26;26;23
23;Ильев Денис Борисович;517.0;32;78;78;69;52;61;42;56;49
24;Ильева Анна Эдуардовна;473.0;30;71;78;64;51;49;39;46;45
25;Коген Игорь Евгеньевич;224.0;23;31;46;15;32;19;16;18;24
26;Кретова Галина Александровна;234.0;17;51;39;20;35;17;13;22;20
27;Лагур Сергей Ильич;116.0;11;11;24;8;23;14;8;7;10
28;Лестев Олег Александрович;121.0;13;16;23;10;13;12;8;10;16
29;Лукьянов Алексей Эдуардович;87.0;11;12;14;10;7;9;6;10;8
30;Мальцева Татьяна Владимировна;860.0;65;84;111;102;98;98;73;95;134
31;Мемухина Валентина Григорьевна;328.0;17;22;49;43;35;72;21;34;35
32;Михайловская Нина Александровна;232.0;24;26;33;29;25;22;18;32;23
33;Михеркина Анастасия Валериевна;72.0;4;9;20;4;8;9;7;2;9
34;Новикова Ирина Александровна;150.0;8;18;23;16;29;14;13;11;18
35;Павлова Мария Владимировна;195.0;17;25;33;26;12;18;24;21;19
36;Пикалов Павел Владимирович;465.0;37;39;52;68;61;40;50;57;61
37;Поляков Сергей Алексеевич;305.0;21;28;62;35;49;40;20;17;33
38;Семёнов Владислав Евгеньевич;188.0;14;20;23;23;18;32;19;15;24
39;Скобелева Вероника Валерьевна;422.0;34;50;62;64;44;41;35;46;46
40;Шатин Игорь Вячеславович;402.0;29;47;58;59;39;57;34;42;37
41;Шептуха Вячеслав Владимирович;740.0;55;99;94;83;91;82;66;83;87
