;name;overall;УИК №1491;УИК №1492;УИК №1493;УИК №1494;УИК №1495;УИК №1506;УИК №1507;УИК №1508;УИК №1509;УИК №1510;УИК №1511;УИК №1512;УИК №1521;УИК №1522;УИК №1523;УИК №1524;УИК №1525
14;Васильева Анжелика Валентиновна;809.0;48;51;50;57;36;33;38;47;34;57;64;60;47;45;58;40;44
15;Галкина Ирина Олеговна;1953.0;99;103;87;90;86;87;99;102;117;120;124;146;109;63;122;130;269
16;Гнездилов Сергей Анатольевич;541.0;31;29;35;24;34;32;31;42;30;41;43;35;20;27;12;38;37
17;Жемолдинов Диан Надирович;809.0;47;31;52;40;62;31;51;56;42;56;63;67;32;57;29;48;45
18;Калачева Марина Ивановна;590.0;23;38;36;28;30;29;34;40;34;49;54;61;22;25;29;28;30
19;Кастуева Анжела Борисовна;441.0;21;28;28;28;24;25;23;27;25;30;34;29;19;18;29;28;25
20;Кострыкин Кирилл Юрьевич;800.0;39;29;45;39;66;27;58;53;40;58;66;67;28;60;38;44;43
21;Куракин Михаил Владимирович;1904.0;89;109;80;105;86;79;91;110;126;114;143;145;118;59;98;100;252
22;Ломакина Лариса Николаевна;1959.0;91;111;83;84;87;98;130;125;136;114;122;142;113;60;105;112;246
23;Мангушев Ринат Равилевич;427.0;34;38;29;34;19;18;28;28;22;28;34;23;18;19;25;13;17
24;Никитина Виктория Викторовна;425.0;21;20;40;16;15;21;65;34;39;25;28;29;16;10;13;19;14
25;Павлюков Ярослав Яковлевич;914.0;46;41;54;43;59;26;62;62;43;81;81;112;31;49;40;49;35
26;Ромадина Маргарита Васильевна;1785.0;93;99;83;76;84;83;103;91;104;108;87;130;111;57;109;109;258
27;Синев Глеб Юрьевич;789.0;53;37;44;42;62;30;53;50;35;64;64;72;28;50;29;39;37
28;Тихоновская Елена Юрьевна;2169.0;121;115;112;101;128;111;130;134;132;125;105;172;117;65;112;127;262
29;Трофимчук Мария Анатольевна;364.0;25;29;27;27;20;12;26;16;17;17;26;33;17;12;26;22;12
30;Хильченко Алексей Михайлович;212.0;13;20;16;14;8;11;11;12;9;12;16;17;9;10;16;7;11
31;Чочия Марианна Гурамиевна;227.0;19;11;15;21;13;9;16;15;7;15;19;19;10;9;14;7;8
32;Чурина Елена Владимировна;457.0;29;31;37;17;24;19;34;32;31;30;29;40;17;18;25;24;20
33;Шлейн Илья Викторович;165.0;10;24;12;5;7;4;7;12;8;11;12;7;9;9;14;9;5
34;Юрин Юрий Валериевич;949.0;63;50;68;53;86;37;60;61;42;66;71;70;35;55;40;53;39
