;name;overall;УИК №1590;УИК №1591;УИК №1592;УИК №1593;УИК №1594;УИК №1595;УИК №1596;УИК №1597;УИК №1598;УИК №1599;УИК №1600;УИК №1601;УИК №1602;УИК №1603
14;Акмуратова Светлана Васильевна;1460.0;118;137;133;133;125;110;96;105;105;44;63;110;81;100
15;Алымова-Орлова Лариса Николаевна;1253.0;111;125;115;116;105;91;75;86;92;49;49;91;66;82
16;Амбарцумов Андрей Евгеньевич;730.0;50;38;47;58;44;45;36;39;48;52;97;54;74;48
17;Булатов Антон Эминович;293.0;24;13;14;18;12;27;21;26;23;20;28;22;23;22
18;Валиев Илья Мидхатович;536.0;42;32;56;55;40;38;24;42;51;25;30;32;36;33
19;Докучаев Александр Викторович;683.0;51;59;66;60;56;66;49;46;76;18;40;24;38;34
20;Егоров Игорь Сергеевич;989.0;64;59;72;74;73;59;48;54;84;33;111;103;80;75
21;Журавлев Анатолий Витальевич;677.0;32;54;36;55;67;39;30;58;43;39;58;45;79;42
22;Красов Юрий Владимирович;569.0;45;46;33;46;20;45;35;36;39;36;55;48;47;38
23;Морозков Сергей Владиславович;537.0;29;22;21;28;22;22;20;22;26;54;98;61;71;41
24;Муцко Александр Степанович;820.0;49;38;34;64;56;48;39;44;58;54;107;79;85;65
25;Нетунаев Владислав Валерьевич;259.0;21;19;26;17;16;22;14;19;12;15;27;19;16;16
26;Орионов Валентин Валерьевич;210.0;18;17;20;7;21;20;7;16;19;7;19;16;12;11
27;Орлов Иван Юрьевич;387.0;27;20;31;30;35;24;16;39;29;17;37;29;26;27
28;Пашков Андрей Анатольевич;1483.0;117;130;117;118;89;97;81;76;100;95;99;137;118;109
29;Породин Николай Вячеславович;1058.0;98;111;103;99;90;79;66;59;73;36;36;76;55;77
30;Пугачева Нина Владимировна;523.0;34;43;56;44;38;55;27;47;75;13;27;18;24;22
31;Пшерадовская Ирина Алексеевна;335.0;15;18;27;27;36;25;16;31;26;14;28;21;27;24
32;Сандаков Яков Павлович;1254.0;86;117;100;105;89;84;77;86;83;72;65;110;81;99
33;Симонов Анатолий Васильевич;350.0;21;36;32;48;25;20;20;34;24;13;20;18;21;18
34;Советина Ксения Анатольевна;330.0;19;30;29;16;23;29;17;21;44;12;25;24;16;25
35;Щёголев Александр Павлович;338.0;12;25;24;33;16;20;28;26;32;18;33;24;24;23
