;name;overall;УИК №3400;УИК №3401;УИК №3402;УИК №3407
14;Амирханов Яков Сергеевич;112.0;36;32;28;16
15;Атакишиева Суада Рафаэловна;206.0;41;55;66;44
16;Белов Даниил Романович;69.0;12;24;18;15
17;Верещагина Елена Игоревна;955.0;232;256;259;208
18;Воронцова Елена Дмитриевна;940.0;196;252;257;235
19;Герасименко Жаннетта Александровна;1104.0;242;287;319;256
20;Иванов Андрей Александрович;508.0;148;126;119;115
21;Костылева Ирина Евгеньевна;875.0;248;198;217;212
22;Красовский Александр Юрьевич;102.0;21;28;36;17
23;Кузнецова Олеся Эдуардовна;165.0;34;51;49;31
24;Кулинич Татьяна Николаевна;121.0;32;26;32;31
25;Кучер Николай Петрович;1647.0;401;430;474;342
26;Ловинюков Александр Анатольевич;54.0;8;13;16;17
27;Мишин Дмитрий Дмитриевич;169.0;44;53;40;32
28;Невежкин Антон Владимирович;279.0;79;73;59;68
29;Петрушкова Татьяна Сергеевна;184.0;54;44;49;37
30;Поддорогина Мария Дмитриевна;51.0;9;10;22;10
31;Поддорогина Наталья Юрьевна;47.0;13;7;18;9
32;Протасов Роман Игоревич;67.0;14;20;14;19
33;Пушков Максим Александрович;1289.0;285;359;372;273
34;Раздрогов Владимир Иннокентьевич;127.0;23;33;34;37
35;Тимошенко Наталья Анатольевна;1100.0;259;275;317;249
