;name;overall;УИК №2569;УИК №2570;УИК №2571;УИК №2572;УИК №2573;УИК №2574;УИК №2575;УИК №2576;УИК №2577;УИК №2578;УИК №2579
14;Андреев Евгений Витальевич;237.0;24;22;15;24;18;15;14;15;48;22;20
15;Антонов Сергей Николаевич;214.0;22;17;16;18;25;15;18;19;23;19;22
16;Апанасик Александр Николаевич;176.0;21;23;15;13;23;8;12;13;22;13;13
17;Аштаев Юрий Алексеевич;369.0;39;37;29;33;35;27;25;38;38;36;32
18;Бакланов Александр Александрович;274.0;30;29;25;26;28;8;22;29;30;20;27
19;Белова Александра Витальевна;291.0;28;25;26;24;36;13;23;32;36;21;27
20;Бондаренко Кристина Сергеевна;97.0;8;13;6;10;7;2;10;7;23;4;7
21;Гончаров Николай Михайлович;1255.0;134;138;119;121;101;100;92;74;154;122;100
22;Горковская Лариса Викторовна;1734.0;151;117;200;184;254;131;79;136;105;244;133
23;Дулин Александр Николаевич;1214.0;78;77;129;139;235;73;50;77;84;188;84
24;Кабанова Марина Евгеньевна;1251.0;159;155;101;137;93;90;78;69;141;124;104
25;Канишевская Виктория Анатольевна;222.0;22;20;13;21;36;12;14;15;34;18;17
26;Козина Марина Валентиновна;329.0;71;79;32;35;24;12;17;14;27;7;11
27;Лепесин Сергей Семенович;210.0;26;10;13;17;6;17;13;15;24;29;40
28;Лесников Евгений Иванович;853.0;118;136;91;82;42;70;66;70;41;69;68
29;Логинов Сергей Евгеньевич;910.0;109;95;93;78;64;75;89;87;46;84;90
30;Лыков Игорь Геннадьевич;128.0;9;6;13;19;32;10;8;5;12;7;7
31;Лыкова Ольга Сергеевна;1311.0;86;96;148;137;214;84;76;89;101;197;83
32;Миняйло Ирина Николаевна;1262.0;131;162;137;114;87;99;76;69;144;118;125
33;Мирошниченко Анна Александровна;242.0;18;39;23;20;52;14;4;19;26;16;11
34;Мирошниченко Роман Евгеньевич;1346.0;95;77;140;149;223;85;69;95;95;210;108
35;Перепелицын Александр Михайлович;390.0;43;31;48;30;53;36;30;22;38;27;32
36;Петрунин Максим Максимович;1816.0;152;141;209;188;245;127;97;142;106;257;152
37;Петрушин Вячеслав Алексеевич;280.0;23;24;35;24;57;26;10;18;24;23;16
38;Попов Антон Олегович;225.0;17;15;27;26;34;27;19;13;17;12;18
39;Попов Николай Петрович;311.0;28;18;38;29;40;38;27;28;20;25;20
40;Прописнова Елена Олеговна;785.0;96;69;86;71;49;65;69;76;41;76;87
41;Рудакова Елена Александровна;162.0;15;15;7;9;26;18;14;4;21;15;18
42;Ручкин Дмитрий Владимирович;215.0;30;16;24;12;13;13;16;17;19;21;34
43;Сологалов Евгений Петрович;149.0;11;13;13;9;19;15;15;9;18;9;18
44;Тюрин Николай Алексеевич;1124.0;136;153;83;134;87;90;71;60;132;94;84
45;Федотов Илья Борисович;1258.0;124;148;90;134;238;88;73;61;134;97;71
46;Шарандина Марина Юрьевна;225.0;25;29;30;6;16;15;17;19;32;18;18
47;Яцко Сергей Иванович;92.0;5;22;8;4;7;4;5;3;20;10;4
