;name;overall;УИК №2964;УИК №2966;УИК №2975;УИК №2976
14;Абушаев Тимур Рустэмович;171.0;46;50;43;32
15;Багликов Илья Михайлович;81.0;28;19;20;14
16;Белоброва Лилия Сергеевна;138.0;40;38;24;36
17;Величко Галина Сергеевна;134.0;49;37;21;27
18;Воробьев Игорь Борисович;88.0;24;26;10;28
19;Дубков Алексей Владимирович;89.0;28;30;14;17
20;Евтеев Алексей Андреевич;281.0;78;54;69;80
21;Климова Марина Владимировна;669.0;107;149;219;194
22;Латышева Татьяна Денисовна;101.0;25;47;17;12
23;Морозова Татьяна Германовна;308.0;91;61;66;90
24;Набиуллин Рустам Айратович;57.0;16;21;12;8
25;Скрипкин Андрей Александрович;578.0;93;127;195;163
26;Чекалдина Наталья Андреевна;523.0;81;102;194;146
27;Чернодубов Даниил Андреевич;312.0;84;70;74;84
