;name;overall;УИК №1931;УИК №1932;УИК №1933;УИК №1934;УИК №1935;УИК №1936;УИК №1937;УИК №1938;УИК №1939;УИК №1940;УИК №1941
14;Аминов Тимур Владимирович;158.0;9;12;17;12;14;16;12;15;10;24;17
15;Амукова Дарья Родионовна;260.0;19;21;20;21;22;38;22;34;21;13;29
16;Баленков Алексей Александрович;246.0;14;12;20;18;27;26;25;25;24;24;31
17;Батрамеев Игорь Константинович;415.0;17;56;29;32;28;55;42;51;40;34;31
18;Вольская Анна Львовна;1329.0;118;100;122;126;113;101;153;153;95;112;136
19;Гаврилин Дмитрий Юрьевич;361.0;14;36;28;34;24;51;36;47;34;23;34
20;Гусаров Григорий Геннадьевич;142.0;4;17;7;13;13;15;10;24;13;9;17
21;Добровольский Алексей Юрьевич;438.0;10;44;36;45;43;49;37;65;40;28;41
22;Доброхотов Николай Владимирович;263.0;9;29;23;22;18;34;22;35;20;24;27
23;Долгашова Галина Георгиевна;1247.0;115;94;102;111;101;97;142;150;96;104;135
24;Зарецкий Дмитрий Константинович;316.0;11;26;23;21;29;30;42;37;25;35;37
25;Кузнецов Алексей Михайлович;604.0;19;37;54;37;57;61;52;81;82;65;59
26;Кулямин Александр Петрович;1103.0;109;91;98;103;83;77;119;129;79;106;109
27;Огнев Егор Михайлович;246.0;10;9;19;15;16;27;27;52;19;27;25
28;Отке Наталья Вячеславовна;1332.0;129;120;138;132;115;104;140;139;89;102;124
29;Педан Михаил Алексеевич;1235.0;120;87;110;117;97;97;134;146;91;103;133
30;Сайботалов Анатолий Александрович;129.0;7;10;9;12;13;10;13;13;10;15;17
31;Титов Владимир Юрьевич;178.0;11;14;21;14;14;17;11;20;18;21;17
32;Шахназарян Григорий Володиевич;188.0;4;18;20;20;19;25;10;20;27;14;11
33;Шнейдер Наталья Ивановна;183.0;2;12;22;17;20;20;21;19;17;17;16
34;Январев Владислав Георгиевич;673.0;10;39;61;47;62;58;70;69;100;74;83
