;name;overall;УИК №1060;УИК №1061;УИК №1062;УИК №1063;УИК №1065;УИК №1066;УИК №1067;УИК №1069;УИК №1070;УИК №1071
14;Агломазов Алексей Львович;367.0;27;49;50;30;70;28;40;38;3;32
15;Белов Даниил Романович;181.0;12;20;27;20;28;10;25;19;2;18
16;Гавриков Антон Андреевич;281.0;12;31;28;21;49;19;35;37;5;44
17;Ермилов Алексей Игоревич;158.0;4;25;18;18;22;10;20;16;8;17
18;Калинин Игорь Анатольевич;772.0;55;161;141;113;78;32;70;45;31;46
19;Калюжин Алексей Андреевич;402.0;21;79;51;37;57;21;61;26;14;35
20;Калюжина Светлана Евгеньевна;407.0;27;65;60;41;60;25;61;28;4;36
21;Киселев Григорий Робертович;1824.0;80;119;203;145;225;90;167;313;269;213
22;Козанков Артём Александрович;202.0;13;31;34;23;27;17;23;9;2;23
23;Кувшинова Ирина Павловна;1781.0;79;100;173;139;213;103;192;301;265;216
24;Левин Станислав Леонидович;138.0;6;18;15;13;23;8;18;12;5;20
25;Мельник Александр Федорович;138.0;9;13;19;14;20;4;19;16;10;14
26;Николаев Станислав Викторович;514.0;36;111;72;46;80;31;40;37;10;51
27;Петрикеева Анна Николаевна;2014.0;90;173;223;196;226;100;240;280;253;233
28;Привалов Антон Евгеньевич;162.0;14;24;24;18;31;5;14;18;0;14
29;Суворова Юлия Геннадьевна;1765.0;78;101;162;120;210;101;220;284;266;223
30;Цветков Александр Павлович;485.0;35;112;76;48;64;26;31;37;4;52
31;Чернышев Руслан Михайлович;2008.0;95;147;188;147;232;116;282;297;267;237
