;name;overall;УИК №1270;УИК №1271;УИК №1272;УИК №1273;УИК №1274;УИК №1275;УИК №1276
14;Ардин Николай Николаевич;504.0;74;73;66;78;76;66;71
15;Артемов Данил Вадимович;393.0;72;70;53;61;59;41;37
16;Базаркин Евгений Михайлович;495.0;69;77;79;61;69;55;85
17;Белобородов Сергей Владимирович;715.0;81;120;127;107;159;68;53
18;Васильева Лариса Викторовна;1001.0;103;119;192;127;149;149;162
19;Гусев Александр Витальевич;1475.0;176;204;237;201;244;219;194
20;Дильмухаметова Регина Маратовна;302.0;46;35;63;36;33;45;44
21;Евгеньева Татьяна Борисовна;286.0;34;32;70;24;35;32;59
22;Егорова Ирина Сергеевна;205.0;25;35;38;24;23;29;31
23;Жигулина Людмила Борисовна;574.0;82;132;97;70;91;53;49
24;Качалка Дмитрий Алексеевич;368.0;53;66;70;43;53;42;41
25;Кириллова Ольга Сергеевна;501.0;68;108;70;86;67;50;52
26;Козак Надежда Николаевна;479.0;60;122;70;69;81;41;36
27;Коробкова Елена Александровна;450.0;38;86;74;77;95;40;40
28;Костюченкова Наталья Юрьевна;212.0;23;17;35;19;32;28;58
29;Котенова Елена Горяевна;283.0;48;53;36;34;33;36;43
30;Кочеткова Елена Александровна;232.0;33;24;36;33;36;30;40
31;Крестовская Ирина Владимировна;760.0;92;160;103;117;158;83;47
32;Крючкова Наталья Борисовна;474.0;70;127;61;58;81;36;41
33;Кузнецова Екатерина Сергеевна;119.0;14;16;28;11;20;21;9
34;Любомищенко Юрий Кимович;110.0;6;10;42;11;9;13;19
35;Махмутов Павел Исхакович;389.0;62;41;52;46;52;39;97
36;Миронова Анастасия Александровна;212.0;23;42;38;30;30;24;25
37;Нефедова Людмила Тихоновна;101.0;11;14;25;15;12;10;14
38;Петухова Елена Петровна;112.0;8;12;24;15;12;18;23
39;Прокопенко Мария Викторовна;75.0;6;9;13;14;10;7;16
40;Рябинина Ирина Герольдовна;1282.0;132;238;221;174;171;165;181
41;Сентяев Владимир Прокопьевич;1224.0;124;139;174;216;272;170;129
42;Сигачева Валентина Васильевна;82.0;16;6;17;15;12;4;12
43;Соломатина Лариса Ивановна;728.0;112;199;96;97;111;69;44
44;Тихомирова Ирина Владиславовна;252.0;20;74;32;29;36;23;38
45;Фатхуллин Максим Вагизович;180.0;23;35;32;24;18;21;27
46;Фаустов Алексей Васильевич;551.0;54;102;114;84;113;49;35
47;Холодницкая Оксана Борисовна;1007.0;98;126;156;150;172;156;149
48;Чернышева Светлана Владимировна;112.0;18;14;17;16;12;13;22
